,optimal,"""optimal"""
286,"(2952.3036295406855, 15)","(2952.316128775911, 15)"
287,"(2950.920302026295, 15)","(2950.937300891866, 13)"
288,"(2949.5003914155723, 13)","(2949.5076923571933, 13)"
289,"(2948.0380828426096, 13)","(2948.047480557096, 13)"
290,"(2946.5419225654928, 13)","(2946.5550683186502, 11)"
291,"(2945.008458801945, 11)","(2945.013366915678, 11)"
292,"(2943.432998337064, 11)","(2943.437006928783, 11)"
293,"(2941.823432412902, 11)","(2941.828915269931, 11)"
294,"(2940.1786632315466, 11)","(2940.1866059083845, 9)"
295,"(2938.494467437478, 9)","(2938.496444757553, 9)"
296,"(2936.771219121225, 9)","(2936.773284311602, 9)"
297,"(2935.0138487605495, 9)","(2935.0153888042296, 9)"
298,"(2933.222340755374, 9)","(2933.224805287593, 9)"
299,"(2931.3945848677627, 9)","(2931.3985127783026, 7)"
300,"(2929.5259063251137, 7)","(2929.5259063251137, 7)"
301,"(2927.62103337074, 7)","(2927.62103337074, 7)"
302,"(2925.683213845855, 7)","(2925.683213845855, 7)"
303,"(2923.711585522561, 7)","(2923.711585522561, 7)"
304,"(2921.7054212436724, 7)","(2921.7054212436724, 7)"
305,"(2919.664889870667, 7)","(2919.664889870667, 7)"
306,"(2917.586123338694, 5)","(2917.586123338694, 5)"
307,"(2915.465898348854, 5)","(2915.465898348854, 5)"
308,"(2913.3150530520084, 5)","(2913.3150530520084, 5)"
309,"(2911.1329675432294, 5)","(2911.1329675432294, 5)"
310,"(2908.91899088491, 5)","(2908.91899088491, 5)"
311,"(2906.6724760901448, 5)","(2906.6724760901448, 5)"
312,"(2904.3927489355247, 5)","(2904.3927489355247, 5)"
313,"(2902.079024077304, 5)","(2902.079024077304, 5)"
314,"(2899.7310290822584, 5)","(2899.7310290822584, 5)"
315,"(2897.3481634214927, 5)","(2897.3481634214927, 5)"
316,"(2894.9263799771165, 3)","(2894.9263799771165, 3)"
317,"(2892.4664080947796, 3)","(2892.4664080947796, 3)"
318,"(2889.9794038605182, 3)","(2889.9794038605182, 3)"
319,"(2887.46491922296, 3)","(2887.46491922296, 3)"
320,"(2884.9224961817085, 3)","(2884.9224961817085, 3)"
321,"(2882.3516665403217, 3)","(2882.3516665403217, 3)"
322,"(2879.7519514956557, 3)","(2879.7519514956557, 3)"
323,"(2877.1228612637005, 3)","(2877.1228612637005, 3)"
324,"(2874.463895635159, 3)","(2874.463895635159, 3)"
325,"(2871.774543309901, 3)","(2871.774543309901, 3)"
326,"(2869.054276306115, 3)","(2869.054276306115, 3)"
327,"(2866.3025570347368, 3)","(2866.3025570347368, 3)"
328,"(2863.5188653784244, 3)","(2863.5188653784244, 3)"
329,"(2860.702622303727, 3)","(2860.702622303727, 3)"
330,"(2857.8530802130435, 3)","(2857.8530802130435, 3)"
331,"(2854.969941740215, 3)","(2854.969941740215, 3)"
332,"(2852.0534970795024, 3)","(2852.0534970795024, 3)"
333,"(2849.100250634109, 1)","(2849.100250634109, 1)"
334,"(2846.106238658062, 1)","(2846.106238658062, 1)"
335,"(2843.0941904652914, 1)","(2843.0941904652914, 1)"
336,"(2840.063887434989, 1)","(2840.063887434989, 1)"
337,"(2837.015106947184, 1)","(2837.015106947184, 1)"
338,"(2833.947622284608, 1)","(2833.947622284608, 1)"
339,"(2830.861202531522, 1)","(2830.861202531522, 1)"
340,"(2827.755612469411, 1)","(2827.755612469411, 1)"
341,"(2824.6306124694115, 1)","(2824.6306124694115, 1)"
342,"(2821.4859583813623, 1)","(2821.4859583813623, 1)"
343,"(2818.3214014193377, 1)","(2818.3214014193377, 1)"
344,"(2815.136688043542, 1)","(2815.136688043542, 1)"
345,"(2811.9315598384146, 1)","(2811.9315598384146, 1)"
346,"(2808.7057533868024, 1)","(2808.7057533868024, 1)"
347,"(2805.4590001400497, 1)","(2805.4590001400497, 1)"
348,"(2802.1910262838414, 1)","(2802.1910262838414, 1)"
349,"(2798.901552599632, 1)","(2798.901552599632, 1)"
350,"(2795.5902943214874, 1)","(2795.5902943214874, 1)"
351,"(2792.2569609881543, 1)","(2792.2569609881543, 1)"
352,"(2788.9012562901685, 1)","(2788.9012562901685, 1)"
353,"(2785.522877911791, 1)","(2785.522877911791, 1)"
354,"(2782.1215173675737, 1)","(2782.1215173675737, 1)"
355,"(2778.696859833328, 1)","(2778.696859833328, 1)"
356,"(2775.24858397126, 1)","(2775.24858397126, 1)"
357,"(2771.7763617490386, 1)","(2771.7763617490386, 1)"
358,"(2768.279858252536, 1)","(2768.279858252536, 1)"
359,"(2764.7587314919733, 1)","(2764.7587314919733, 1)"
360,"(2761.212632201194, 1)","(2761.212632201194, 1)"
