,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}]
227,500,2967.743898793469,500,2967.786976765378,1.0,2979.5879448972278,1.0,2981.0598590355207,1.0,7181.564442752945,1.0,7181.6184551913875,1.0,7192.10921373183,1,3094.2589218927446,0.002,7574.123340315333,0.002,4790.547767073127
226,500,2966.870613091049,500,2966.9106034116994,1.0,2978.703104800649,1.0,2980.171942578962,1.0,7180.679602656483,1.0,7180.730538734829,1.0,7190.964138575069,1,3096.083739410992,0.002,7576.7090058421445,0.002,4792.183171417542
225,500,2965.957398533829,500,2965.992556758632,1.0,2977.776198862546,1.0,2979.2422145134715,1.0,7179.752696718709,1.0,7179.800810669697,1.0,7189.780356969884,1,3097.9019212291737,0.002,7579.2804713372525,0.002,4793.8095944017205
224,500,2965.0041986425003,500,2965.0297652606523,1.0,2976.8072238276304,1.0,2978.270634430428,1.0,7178.783721683792,1.0,7178.829230586272,1.0,7188.558023870888,1,3099.713515432072,0.002,7581.837856615087,0.002,4795.427111806945
223,500,2964.0110988466017,500,2964.0355792871983,1.0,2975.796169298761,1.0,2977.257185693365,1.0,7177.772667154912,1.0,7177.81578184891,1.0,7187.297260911262,1,3101.5185695836967,0.002,7584.381280118046,0.002,4797.035798546696
222,500,2962.9783269222594,500,2963.004393834575,1.0,2974.7430171751826,1.0,2976.201829811725,1.0,7176.719515031469,1.0,7176.7604259677,1.0,7185.998160027465,1,3103.3171307347757,0.002,7586.910858936631,0.002,4798.635728679405
221,500,2961.906369213153,500,2961.9307569219827,1.0,2973.6477413412,1.0,2975.1045181157233,1.0,7175.624239197421,1.0,7175.663114271744,1.0,7184.660786500034,1,3105.109245430116,0.002,7589.426708829258,0.002,4800.226975420959
220,500,2960.794219511583,500,2960.812909973813,1.0,2972.5103075282777,1.0,2973.9652032942367,1.0,7174.48680538478,1.0,7174.52379945034,1.0,7183.285181522173,1,3106.89495971583,0.002,7591.928944241663,0.002,4801.809611157003
219,500,2959.6426180658787,500,2959.6619680798754,1.0,2971.3306733005143,1.0,2972.783830993421,1.0,7173.307171156856,1.0,7173.342427149272,1.0,7181.871364383045,1,3108.6743191464343,0.002,7594.417678326011,0.002,4803.383707455003
218,500,2958.4528605364785,500,2958.468260211323,1.0,2970.1087881145436,1.0,2971.560337703327,1.0,7172.085285970468,1.0,7172.118933858331,1.0,7180.41933433407,1,3110.447368791824,0.002,7596.893022959618,0.002,4804.949335076109
