,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.30529985436595,All
316,1,0,0,1,1,1,1,0,0,18.750000000000018,1
315,1,0,0,1,1,1,0,1,1,16.500000000000014,1
314,1,0,0,1,1,1,0,1,0,18.750000000000018,1
313,1,0,0,1,1,1,0,0,1,18.750000000000018,1
312,1,0,0,1,1,1,0,0,0,19.456473737190347,4
311,1,0,0,1,1,0,1,1,1,16.500000000000014,1
310,1,0,0,1,1,0,1,1,0,18.750000000000018,1
309,1,0,0,1,1,0,1,0,1,18.750000000000018,1
308,1,0,0,1,1,0,1,0,0,19.407168686066303,4
307,1,0,0,1,1,0,0,1,1,18.750000000000018,1
306,1,0,0,1,1,0,0,1,0,19.407600208903688,4
305,1,0,0,1,1,0,0,0,1,19.407600208903688,4
304,1,0,0,1,1,0,0,0,0,18.83333333333336,6
303,1,0,0,1,0,1,1,1,1,16.500000000000014,1
302,1,0,0,1,0,1,1,1,0,18.750000000000018,1
301,1,0,0,1,0,1,1,0,1,18.750000000000018,1
300,1,0,0,1,0,1,1,0,0,19.358566784608552,4
299,1,0,0,1,0,1,0,1,1,18.750000000000018,1
298,1,0,0,1,0,1,0,1,0,19.35876281479742,4
297,1,0,0,1,0,1,0,0,1,19.35876281479742,4
296,1,0,0,1,0,1,0,0,0,18.83333333333336,6
295,1,0,0,1,0,0,1,1,1,18.750000000000018,1
294,1,0,0,1,0,0,1,1,0,19.358464857612073,4
293,1,0,0,1,0,0,1,0,1,19.358464857612073,4
292,1,0,0,1,0,0,1,0,0,18.83333333333336,6
291,1,0,0,1,0,0,0,1,1,19.35725961632539,4
290,1,0,0,1,0,0,0,1,0,18.83333333333336,6
289,1,0,0,1,0,0,0,0,1,18.83333333333336,6
288,1,0,0,1,0,0,0,0,0,16.31250000000001,7
287,1,0,0,0,1,1,1,1,1,16.500000000000014,1
286,1,0,0,0,1,1,1,1,0,18.750000000000018,1
285,1,0,0,0,1,1,1,0,1,18.750000000000018,1
284,1,0,0,0,1,1,1,0,0,19.265777285142846,4
283,1,0,0,0,1,1,0,1,1,18.750000000000018,1
282,1,0,0,0,1,1,0,1,0,19.266851964063797,4
281,1,0,0,0,1,1,0,0,1,19.266851964063797,4
280,1,0,0,0,1,1,0,0,0,18.83035714285717,6
279,1,0,0,0,1,0,1,1,1,18.750000000000018,1
278,1,0,0,0,1,0,1,1,0,19.268616926690605,4
277,1,0,0,0,1,0,1,0,1,19.268616926690605,4
276,1,0,0,0,1,0,1,0,0,18.83035714285717,6
275,1,0,0,0,1,0,0,1,1,19.268433559504793,4
274,1,0,0,0,1,0,0,1,0,18.83035714285717,6
273,1,0,0,0,1,0,0,0,1,18.83035714285717,6
272,1,0,0,0,1,0,0,0,0,16.31250000000001,7
271,1,0,0,0,0,1,1,1,1,18.750000000000018,1
270,1,0,0,0,0,1,1,1,0,19.226090493764666,4
269,1,0,0,0,0,1,1,0,1,19.226090493764666,4
268,1,0,0,0,0,1,1,0,0,18.83035714285717,6
267,1,0,0,0,0,1,0,1,1,19.22574823497201,4
266,1,0,0,0,0,1,0,1,0,18.83035714285717,6
265,1,0,0,0,0,1,0,0,1,18.83035714285717,6
264,1,0,0,0,0,1,0,0,0,16.31250000000001,7
263,1,0,0,0,0,0,1,1,1,19.18059283252597,4
262,1,0,0,0,0,0,1,1,0,18.83035714285717,6
261,1,0,0,0,0,0,1,0,1,18.83035714285717,6
260,1,0,0,0,0,0,1,0,0,16.31250000000001,7
259,1,0,0,0,0,0,0,1,1,18.83035714285717,6
258,1,0,0,0,0,0,0,1,0,16.31250000000001,7
257,1,0,0,0,0,0,0,0,1,16.31250000000001,7
256,1,0,0,0,0,0,0,0,0,9.000000000000007,8
255,0,1,1,1,1,1,1,1,1,9.000000000000007,1
254,0,1,1,1,1,1,1,1,0,13.50000000000001,1
253,0,1,1,1,1,1,1,0,1,13.50000000000001,1
252,0,1,1,1,1,1,1,0,0,16.500000000000014,1
251,0,1,1,1,1,1,0,1,1,13.50000000000001,1
250,0,1,1,1,1,1,0,1,0,16.500000000000014,1
249,0,1,1,1,1,1,0,0,1,16.500000000000014,1
248,0,1,1,1,1,1,0,0,0,18.750000000000018,1
247,0,1,1,1,1,0,1,1,1,13.50000000000001,1
246,0,1,1,1,1,0,1,1,0,16.500000000000014,1
245,0,1,1,1,1,0,1,0,1,16.500000000000014,1
244,0,1,1,1,1,0,1,0,0,18.750000000000018,1
243,0,1,1,1,1,0,0,1,1,16.500000000000014,1
242,0,1,1,1,1,0,0,1,0,18.750000000000018,1
241,0,1,1,1,1,0,0,0,1,18.750000000000018,1
240,0,1,1,1,1,0,0,0,0,18.745997815593118,6
239,0,1,1,1,0,1,1,1,1,13.50000000000001,1
238,0,1,1,1,0,1,1,1,0,16.500000000000014,1
237,0,1,1,1,0,1,1,0,1,16.500000000000014,1
236,0,1,1,1,0,1,1,0,0,18.750000000000018,1
235,0,1,1,1,0,1,0,1,1,16.500000000000014,1
234,0,1,1,1,0,1,0,1,0,18.750000000000018,1
233,0,1,1,1,0,1,0,0,1,18.750000000000018,1
232,0,1,1,1,0,1,0,0,0,18.753320520223266,6
231,0,1,1,1,0,0,1,1,1,16.500000000000014,1
230,0,1,1,1,0,0,1,1,0,18.750000000000018,1
229,0,1,1,1,0,0,1,0,1,18.750000000000018,1
228,0,1,1,1,0,0,1,0,0,18.75717636493728,6
227,0,1,1,1,0,0,0,1,1,18.750000000000018,1
226,0,1,1,1,0,0,0,1,0,18.758556839931973,6
225,0,1,1,1,0,0,0,0,1,18.758556839931973,6
224,0,1,1,1,0,0,0,0,0,17.500000000000014,9
223,0,1,1,0,1,1,1,1,1,13.50000000000001,1
222,0,1,1,0,1,1,1,1,0,16.500000000000014,1
221,0,1,1,0,1,1,1,0,1,16.500000000000014,1
220,0,1,1,0,1,1,1,0,0,18.750000000000018,1
219,0,1,1,0,1,1,0,1,1,16.500000000000014,1
218,0,1,1,0,1,1,0,1,0,18.750000000000018,1
217,0,1,1,0,1,1,0,0,1,18.750000000000018,1
216,0,1,1,0,1,1,0,0,0,18.731286821997063,6
215,0,1,1,0,1,0,1,1,1,16.500000000000014,1
214,0,1,1,0,1,0,1,1,0,18.750000000000018,1
213,0,1,1,0,1,0,1,0,1,18.750000000000018,1
212,0,1,1,0,1,0,1,0,0,18.73375161397059,6
211,0,1,1,0,1,0,0,1,1,18.750000000000018,1
210,0,1,1,0,1,0,0,1,0,18.734517591934452,6
209,0,1,1,0,1,0,0,0,1,18.734517591934452,6
208,0,1,1,0,1,0,0,0,0,17.500000000000014,9
207,0,1,1,0,0,1,1,1,1,16.500000000000014,1
206,0,1,1,0,0,1,1,1,0,18.750000000000018,1
205,0,1,1,0,0,1,1,0,1,18.750000000000018,1
204,0,1,1,0,0,1,1,0,0,18.740970089304593,6
203,0,1,1,0,0,1,0,1,1,18.750000000000018,1
202,0,1,1,0,0,1,0,1,0,18.741856641934543,6
201,0,1,1,0,0,1,0,0,1,18.741856641934543,6
200,0,1,1,0,0,1,0,0,0,17.500000000000014,9
199,0,1,1,0,0,0,1,1,1,18.750000000000018,1
198,0,1,1,0,0,0,1,1,0,18.746551490408294,6
197,0,1,1,0,0,0,1,0,1,18.746551490408294,6
196,0,1,1,0,0,0,1,0,0,17.500000000000014,9
195,0,1,1,0,0,0,0,1,1,18.748265424603897,6
194,0,1,1,0,0,0,0,1,0,17.500000000000014,9
193,0,1,1,0,0,0,0,0,1,17.500000000000014,9
192,0,1,1,0,0,0,0,0,0,14.50000000000001,9
191,0,1,0,1,1,1,1,1,1,13.50000000000001,1
190,0,1,0,1,1,1,1,1,0,16.500000000000014,1
189,0,1,0,1,1,1,1,0,1,16.500000000000014,1
188,0,1,0,1,1,1,1,0,0,18.750000000000018,1
187,0,1,0,1,1,1,0,1,1,16.500000000000014,1
186,0,1,0,1,1,1,0,1,0,18.750000000000018,1
185,0,1,0,1,1,1,0,0,1,18.750000000000018,1
184,0,1,0,1,1,1,0,0,0,18.677623193344594,6
183,0,1,0,1,1,0,1,1,1,16.500000000000014,1
182,0,1,0,1,1,0,1,1,0,18.722476680364952,3
181,0,1,0,1,1,0,1,0,1,18.722476680364952,3
180,0,1,0,1,1,0,1,0,0,18.680123774384715,6
179,0,1,0,1,1,0,0,1,1,18.720595357693487,3
178,0,1,0,1,1,0,0,1,0,18.68056156035842,6
177,0,1,0,1,1,0,0,0,1,18.68056156035842,6
176,0,1,0,1,1,0,0,0,0,17.500000000000014,9
175,0,1,0,1,0,1,1,1,1,16.500000000000014,1
174,0,1,0,1,0,1,1,1,0,18.670149765453115,3
173,0,1,0,1,0,1,1,0,1,18.670149765453115,3
172,0,1,0,1,0,1,1,0,0,18.685883007237408,6
171,0,1,0,1,0,1,0,1,1,18.669673270110934,3
170,0,1,0,1,0,1,0,1,0,18.68643493374695,6
169,0,1,0,1,0,1,0,0,1,18.68643493374695,6
168,0,1,0,1,0,1,0,0,0,17.500000000000014,9
167,0,1,0,1,0,0,1,1,1,18.668710885551256,3
166,0,1,0,1,0,0,1,1,0,18.690099407185546,6
165,0,1,0,1,0,0,1,0,1,18.690099407185546,6
164,0,1,0,1,0,0,1,0,0,17.500000000000014,9
163,0,1,0,1,0,0,0,1,1,18.691441464713197,6
162,0,1,0,1,0,0,0,1,0,17.500000000000014,9
161,0,1,0,1,0,0,0,0,1,17.500000000000014,9
160,0,1,0,1,0,0,0,0,0,14.50000000000001,9
159,0,1,0,0,1,1,1,1,1,16.500000000000014,1
158,0,1,0,0,1,1,1,1,0,18.61970304907923,3
157,0,1,0,0,1,1,1,0,1,18.61970304907923,3
156,0,1,0,0,1,1,1,0,0,18.695363157411524,6
155,0,1,0,0,1,1,0,1,1,18.619848120068422,3
154,0,1,0,0,1,1,0,1,0,18.695306690461866,6
153,0,1,0,0,1,1,0,0,1,18.695306690461866,6
152,0,1,0,0,1,1,0,0,0,17.500000000000014,9
151,0,1,0,0,1,0,1,1,1,18.619623362035792,3
150,0,1,0,0,1,0,1,1,0,18.696647069377608,6
149,0,1,0,0,1,0,1,0,1,18.696647069377608,6
148,0,1,0,0,1,0,1,0,0,17.500000000000014,9
147,0,1,0,0,1,0,0,1,1,18.697387553701713,6
146,0,1,0,0,1,0,0,1,0,17.500000000000014,9
145,0,1,0,0,1,0,0,0,1,17.500000000000014,9
144,0,1,0,0,1,0,0,0,0,14.50000000000001,9
143,0,1,0,0,0,1,1,1,1,18.618570254737065,3
142,0,1,0,0,0,1,1,1,0,18.697921764252616,6
141,0,1,0,0,0,1,1,0,1,18.697921764252616,6
140,0,1,0,0,0,1,1,0,0,17.500000000000014,9
139,0,1,0,0,0,1,0,1,1,18.698780036781212,6
138,0,1,0,0,0,1,0,1,0,17.500000000000014,9
137,0,1,0,0,0,1,0,0,1,17.500000000000014,9
136,0,1,0,0,0,1,0,0,0,14.50000000000001,9
135,0,1,0,0,0,0,1,1,1,18.690590592292864,4
134,0,1,0,0,0,0,1,1,0,17.500000000000014,9
133,0,1,0,0,0,0,1,0,1,17.500000000000014,9
132,0,1,0,0,0,0,1,0,0,14.50000000000001,9
131,0,1,0,0,0,0,0,1,1,17.500000000000014,9
130,0,1,0,0,0,0,0,1,0,14.50000000000001,9
129,0,1,0,0,0,0,0,0,1,14.50000000000001,9
128,0,1,0,0,0,0,0,0,0,10.000000000000007,9
127,0,0,1,1,1,1,1,1,1,13.50000000000001,1
126,0,0,1,1,1,1,1,1,0,16.500000000000014,1
125,0,0,1,1,1,1,1,0,1,16.500000000000014,1
124,0,0,1,1,1,1,1,0,0,18.56635765619952,5
123,0,0,1,1,1,1,0,1,1,16.500000000000014,1
122,0,0,1,1,1,1,0,1,0,18.56544786316085,5
121,0,0,1,1,1,1,0,0,1,18.56544786316085,5
120,0,0,1,1,1,1,0,0,0,18.49291326385604,6
119,0,0,1,1,1,0,1,1,1,16.500000000000014,1
118,0,0,1,1,1,0,1,1,0,18.56570175732467,5
117,0,0,1,1,1,0,1,0,1,18.56570175732467,5
116,0,0,1,1,1,0,1,0,0,18.492369206344765,6
115,0,0,1,1,1,0,0,1,1,18.565244684555225,5
114,0,0,1,1,1,0,0,1,0,18.492660587337834,6
113,0,0,1,1,1,0,0,0,1,18.492660587337834,6
112,0,0,1,1,1,0,0,0,0,17.500000000000014,9
111,0,0,1,1,0,1,1,1,1,16.500000000000014,1
110,0,0,1,1,0,1,1,1,0,18.552326928510883,3
109,0,0,1,1,0,1,1,0,1,18.552326928510883,3
108,0,0,1,1,0,1,1,0,0,18.49466156744645,6
107,0,0,1,1,0,1,0,1,1,18.551332250061204,3
106,0,0,1,1,0,1,0,1,0,18.494785722386418,6
105,0,0,1,1,0,1,0,0,1,18.494785722386418,6
104,0,0,1,1,0,1,0,0,0,17.500000000000014,9
103,0,0,1,1,0,0,1,1,1,18.54729930887492,3
102,0,0,1,1,0,0,1,1,0,18.495630382971576,6
101,0,0,1,1,0,0,1,0,1,18.495630382971576,6
100,0,0,1,1,0,0,1,0,0,17.500000000000014,9
99,0,0,1,1,0,0,0,1,1,18.494614932663197,6
98,0,0,1,1,0,0,0,1,0,17.500000000000014,9
97,0,0,1,1,0,0,0,0,1,17.500000000000014,9
96,0,0,1,1,0,0,0,0,0,14.50000000000001,9
95,0,0,1,0,1,1,1,1,1,16.500000000000014,1
94,0,0,1,0,1,1,1,1,0,18.4976792789969,3
93,0,0,1,0,1,1,1,0,1,18.4976792789969,3
92,0,0,1,0,1,1,1,0,0,18.502116366782335,6
91,0,0,1,0,1,1,0,1,1,18.49779909041696,3
90,0,0,1,0,1,1,0,1,0,18.50306368158519,6
89,0,0,1,0,1,1,0,0,1,18.50306368158519,6
88,0,0,1,0,1,1,0,0,0,17.500000000000014,9
87,0,0,1,0,1,0,1,1,1,18.496384656314465,3
86,0,0,1,0,1,0,1,1,0,18.506472423177463,6
85,0,0,1,0,1,0,1,0,1,18.506472423177463,6
84,0,0,1,0,1,0,1,0,0,17.500000000000014,9
83,0,0,1,0,1,0,0,1,1,18.50628590371752,6
82,0,0,1,0,1,0,0,1,0,17.500000000000014,9
81,0,0,1,0,1,0,0,0,1,17.500000000000014,9
80,0,0,1,0,1,0,0,0,0,14.50000000000001,9
79,0,0,1,0,0,1,1,1,1,18.489106915595265,5
78,0,0,1,0,0,1,1,1,0,18.489395662793395,4
77,0,0,1,0,0,1,1,0,1,18.489395662793395,4
76,0,0,1,0,0,1,1,0,0,17.500000000000014,9
75,0,0,1,0,0,1,0,1,1,18.489128466210918,4
74,0,0,1,0,0,1,0,1,0,17.500000000000014,9
73,0,0,1,0,0,1,0,0,1,17.500000000000014,9
72,0,0,1,0,0,1,0,0,0,14.50000000000001,9
71,0,0,1,0,0,0,1,1,1,18.450001343941334,4
70,0,0,1,0,0,0,1,1,0,17.500000000000014,9
69,0,0,1,0,0,0,1,0,1,17.500000000000014,9
68,0,0,1,0,0,0,1,0,0,14.50000000000001,9
67,0,0,1,0,0,0,0,1,1,17.500000000000014,9
66,0,0,1,0,0,0,0,1,0,14.50000000000001,9
65,0,0,1,0,0,0,0,0,1,14.50000000000001,9
64,0,0,1,0,0,0,0,0,0,10.000000000000007,9
63,0,0,0,1,1,1,1,1,1,16.500000000000014,1
62,0,0,0,1,1,1,1,1,0,18.39451401432106,5
61,0,0,0,1,1,1,1,0,1,18.39451401432106,5
60,0,0,0,1,1,1,1,0,0,18.38697306033701,5
