,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.344862524561574,All
818,1,1,0,0,1,1,0,0,1,0,22.81246604891958,3
817,1,1,0,0,1,1,0,0,0,1,22.81246604891958,3
816,1,1,0,0,1,1,0,0,0,0,23.477300204520592,4
815,1,1,0,0,1,0,1,1,1,1,18.333333333333332,1
814,1,1,0,0,1,0,1,1,1,0,20.83333333333333,1
813,1,1,0,0,1,0,1,1,0,1,20.83333333333333,1
812,1,1,0,0,1,0,1,1,0,0,22.777890780431473,3
811,1,1,0,0,1,0,1,0,1,1,20.83333333333333,1
810,1,1,0,0,1,0,1,0,1,0,22.73209395881633,3
809,1,1,0,0,1,0,1,0,0,1,22.73209395881633,3
808,1,1,0,0,1,0,1,0,0,0,23.34561661105121,4
807,1,1,0,0,1,0,0,1,1,1,20.83333333333333,1
806,1,1,0,0,1,0,0,1,1,0,22.70108862764764,3
805,1,1,0,0,1,0,0,1,0,1,22.70108862764764,3
804,1,1,0,0,1,0,0,1,0,0,23.3055785885783,4
803,1,1,0,0,1,0,0,0,1,1,22.713692629355855,3
802,1,1,0,0,1,0,0,0,1,0,23.30599035328418,4
801,1,1,0,0,1,0,0,0,0,1,23.30599035328418,4
800,1,1,0,0,1,0,0,0,0,0,23.372549019607874,5
799,1,1,0,0,0,1,1,1,1,1,18.333333333333332,1
798,1,1,0,0,0,1,1,1,1,0,20.83333333333333,1
797,1,1,0,0,0,1,1,1,0,1,20.83333333333333,1
796,1,1,0,0,0,1,1,1,0,0,22.714939865828082,3
795,1,1,0,0,0,1,1,0,1,1,20.83333333333333,1
794,1,1,0,0,0,1,1,0,1,0,22.67438878816549,3
793,1,1,0,0,0,1,1,0,0,1,22.67438878816549,3
792,1,1,0,0,0,1,1,0,0,0,23.229399694822995,4
791,1,1,0,0,0,1,0,1,1,1,20.83333333333333,1
790,1,1,0,0,0,1,0,1,1,0,22.645080941226905,3
789,1,1,0,0,0,1,0,1,0,1,22.645080941226905,3
788,1,1,0,0,0,1,0,1,0,0,23.19536899164612,4
787,1,1,0,0,0,1,0,0,1,1,22.655600819882352,3
786,1,1,0,0,0,1,0,0,1,0,23.195737084337743,4
785,1,1,0,0,0,1,0,0,0,1,23.195737084337743,4
784,1,1,0,0,0,1,0,0,0,0,23.187878787878823,5
783,1,1,0,0,0,0,1,1,1,1,20.83333333333333,1
782,1,1,0,0,0,0,1,1,1,0,22.62575294879035,3
781,1,1,0,0,0,0,1,1,0,1,22.62575294879035,3
780,1,1,0,0,0,0,1,1,0,0,23.16541178468102,4
779,1,1,0,0,0,0,1,0,1,1,22.63548375654384,3
778,1,1,0,0,0,0,1,0,1,0,23.16575853866588,4
777,1,1,0,0,0,0,1,0,0,1,23.16575853866588,4
776,1,1,0,0,0,0,1,0,0,0,23.145833333333368,5
775,1,1,0,0,0,0,0,1,1,1,22.65141973671205,3
774,1,1,0,0,0,0,0,1,1,0,23.168388119451492,4
773,1,1,0,0,0,0,0,1,0,1,23.168388119451492,4
772,1,1,0,0,0,0,0,1,0,0,23.145833333333368,5
771,1,1,0,0,0,0,0,0,1,1,23.168724966179642,4
770,1,1,0,0,0,0,0,0,1,0,23.145833333333368,5
769,1,1,0,0,0,0,0,0,0,1,23.145833333333368,5
768,1,1,0,0,0,0,0,0,0,0,22.500000000000007,6
767,1,0,1,1,1,1,1,1,1,1,10.0,1
766,1,0,1,1,1,1,1,1,1,0,15.0,1
765,1,0,1,1,1,1,1,1,0,1,15.0,1
764,1,0,1,1,1,1,1,1,0,0,18.333333333333332,1
763,1,0,1,1,1,1,1,0,1,1,15.0,1
762,1,0,1,1,1,1,1,0,1,0,18.333333333333332,1
761,1,0,1,1,1,1,1,0,0,1,18.333333333333332,1
760,1,0,1,1,1,1,1,0,0,0,20.83333333333333,1
759,1,0,1,1,1,1,0,1,1,1,15.0,1
758,1,0,1,1,1,1,0,1,1,0,18.333333333333332,1
757,1,0,1,1,1,1,0,1,0,1,18.333333333333332,1
756,1,0,1,1,1,1,0,1,0,0,20.83333333333333,1
755,1,0,1,1,1,1,0,0,1,1,18.333333333333332,1
754,1,0,1,1,1,1,0,0,1,0,20.83333333333333,1
753,1,0,1,1,1,1,0,0,0,1,20.83333333333333,1
752,1,0,1,1,1,1,0,0,0,0,22.83333333333333,1
751,1,0,1,1,1,0,1,1,1,1,15.0,1
750,1,0,1,1,1,0,1,1,1,0,18.333333333333332,1
749,1,0,1,1,1,0,1,1,0,1,18.333333333333332,1
748,1,0,1,1,1,0,1,1,0,0,20.83333333333333,1
747,1,0,1,1,1,0,1,0,1,1,18.333333333333332,1
746,1,0,1,1,1,0,1,0,1,0,20.83333333333333,1
745,1,0,1,1,1,0,1,0,0,1,20.83333333333333,1
744,1,0,1,1,1,0,1,0,0,0,22.83333333333333,1
743,1,0,1,1,1,0,0,1,1,1,18.333333333333332,1
742,1,0,1,1,1,0,0,1,1,0,20.83333333333333,1
741,1,0,1,1,1,0,0,1,0,1,20.83333333333333,1
740,1,0,1,1,1,0,0,1,0,0,22.83333333333333,1
739,1,0,1,1,1,0,0,0,1,1,20.83333333333333,1
738,1,0,1,1,1,0,0,0,1,0,22.83333333333333,1
737,1,0,1,1,1,0,0,0,0,1,22.83333333333333,1
736,1,0,1,1,1,0,0,0,0,0,23.068190587897146,6
735,1,0,1,1,0,1,1,1,1,1,15.0,1
734,1,0,1,1,0,1,1,1,1,0,18.333333333333332,1
733,1,0,1,1,0,1,1,1,0,1,18.333333333333332,1
732,1,0,1,1,0,1,1,1,0,0,20.83333333333333,1
731,1,0,1,1,0,1,1,0,1,1,18.333333333333332,1
730,1,0,1,1,0,1,1,0,1,0,20.83333333333333,1
729,1,0,1,1,0,1,1,0,0,1,20.83333333333333,1
728,1,0,1,1,0,1,1,0,0,0,22.83333333333333,1
727,1,0,1,1,0,1,0,1,1,1,18.333333333333332,1
726,1,0,1,1,0,1,0,1,1,0,20.83333333333333,1
725,1,0,1,1,0,1,0,1,0,1,20.83333333333333,1
724,1,0,1,1,0,1,0,1,0,0,22.80374570939868,3
723,1,0,1,1,0,1,0,0,1,1,20.83333333333333,1
722,1,0,1,1,0,1,0,0,1,0,22.75625165783376,3
721,1,0,1,1,0,1,0,0,0,1,22.75625165783376,3
720,1,0,1,1,0,1,0,0,0,0,22.934484315320937,6
719,1,0,1,1,0,0,1,1,1,1,18.333333333333332,1
718,1,0,1,1,0,0,1,1,1,0,20.83333333333333,1
717,1,0,1,1,0,0,1,1,0,1,20.83333333333333,1
716,1,0,1,1,0,0,1,1,0,0,22.712777255943188,3
715,1,0,1,1,0,0,1,0,1,1,20.83333333333333,1
714,1,0,1,1,0,0,1,0,1,0,22.670470521477018,3
713,1,0,1,1,0,0,1,0,0,1,22.670470521477018,3
712,1,0,1,1,0,0,1,0,0,0,22.938371997632835,6
711,1,0,1,1,0,0,0,1,1,1,20.83333333333333,1
710,1,0,1,1,0,0,0,1,1,0,22.63479800955052,3
709,1,0,1,1,0,0,0,1,0,1,22.63479800955052,3
708,1,0,1,1,0,0,0,1,0,0,22.939579182967545,6
707,1,0,1,1,0,0,0,0,1,1,22.640639929087857,3
706,1,0,1,1,0,0,0,0,1,0,22.939553508263852,6
705,1,0,1,1,0,0,0,0,0,1,22.939553508263852,6
704,1,0,1,1,0,0,0,0,0,0,21.875,7
703,1,0,1,0,1,1,1,1,1,1,15.0,1
702,1,0,1,0,1,1,1,1,1,0,18.333333333333332,1
701,1,0,1,0,1,1,1,1,0,1,18.333333333333332,1
700,1,0,1,0,1,1,1,1,0,0,20.83333333333333,1
699,1,0,1,0,1,1,1,0,1,1,18.333333333333332,1
698,1,0,1,0,1,1,1,0,1,0,20.83333333333333,1
697,1,0,1,0,1,1,1,0,0,1,20.83333333333333,1
696,1,0,1,0,1,1,1,0,0,0,22.756004471467715,3
695,1,0,1,0,1,1,0,1,1,1,18.333333333333332,1
694,1,0,1,0,1,1,0,1,1,0,20.83333333333333,1
693,1,0,1,0,1,1,0,1,0,1,20.83333333333333,1
692,1,0,1,0,1,1,0,1,0,0,22.66962727852408,3
691,1,0,1,0,1,1,0,0,1,1,20.83333333333333,1
690,1,0,1,0,1,1,0,0,1,0,22.63003685625747,3
689,1,0,1,0,1,1,0,0,0,1,22.63003685625747,3
688,1,0,1,0,1,1,0,0,0,0,22.688662949432036,6
687,1,0,1,0,1,0,1,1,1,1,18.333333333333332,1
686,1,0,1,0,1,0,1,1,1,0,20.83333333333333,1
685,1,0,1,0,1,0,1,1,0,1,20.83333333333333,1
684,1,0,1,0,1,0,1,1,0,0,22.5905700267364,3
683,1,0,1,0,1,0,1,0,1,1,20.83333333333333,1
682,1,0,1,0,1,0,1,0,1,0,22.55493574806741,3
681,1,0,1,0,1,0,1,0,0,1,22.55493574806741,3
680,1,0,1,0,1,0,1,0,0,0,22.691727189709084,6
679,1,0,1,0,1,0,0,1,1,1,20.83333333333333,1
678,1,0,1,0,1,0,0,1,1,0,22.522701915600717,3
677,1,0,1,0,1,0,0,1,0,1,22.522701915600717,3
676,1,0,1,0,1,0,0,1,0,0,22.693076002807878,6
675,1,0,1,0,1,0,0,0,1,1,22.525454499372486,3
674,1,0,1,0,1,0,0,0,1,0,22.693050907725855,6
673,1,0,1,0,1,0,0,0,0,1,22.693050907725855,6
672,1,0,1,0,1,0,0,0,0,0,21.63793103448276,7
671,1,0,1,0,0,1,1,1,1,1,18.333333333333332,1
670,1,0,1,0,0,1,1,1,1,0,20.83333333333333,1
669,1,0,1,0,0,1,1,1,0,1,20.83333333333333,1
668,1,0,1,0,0,1,1,1,0,0,22.521306950632663,3
667,1,0,1,0,0,1,1,0,1,1,20.83333333333333,1
666,1,0,1,0,0,1,1,0,1,0,22.489593624254105,3
665,1,0,1,0,0,1,1,0,0,1,22.489593624254105,3
664,1,0,1,0,0,1,1,0,0,0,22.669098032483305,6
663,1,0,1,0,0,1,0,1,1,1,20.83333333333333,1
662,1,0,1,0,0,1,0,1,1,0,22.461723123084948,3
661,1,0,1,0,0,1,0,1,0,1,22.461723123084948,3
660,1,0,1,0,0,1,0,1,0,0,22.67052079012491,6
659,1,0,1,0,0,1,0,0,1,1,22.46495543453478,3
658,1,0,1,0,0,1,0,0,1,0,22.67049540017095,6
657,1,0,1,0,0,1,0,0,0,1,22.67049540017095,6
656,1,0,1,0,0,1,0,0,0,0,21.63793103448276,7
655,1,0,1,0,0,0,1,1,1,1,20.83333333333333,1
654,1,0,1,0,0,0,1,1,1,0,22.439243399768447,3
653,1,0,1,0,0,0,1,1,0,1,22.439243399768447,3
652,1,0,1,0,0,0,1,1,0,0,22.675151096215092,6
651,1,0,1,0,0,0,1,0,1,1,22.442765150658218,3
650,1,0,1,0,0,0,1,0,1,0,22.675125367551498,6
649,1,0,1,0,0,0,1,0,0,1,22.675125367551498,6
648,1,0,1,0,0,0,1,0,0,0,21.63793103448276,7
647,1,0,1,0,0,0,0,1,1,1,22.44952017150676,3
646,1,0,1,0,0,0,0,1,1,0,22.67713003446235,6
645,1,0,1,0,0,0,0,1,0,1,22.67713003446235,6
644,1,0,1,0,0,0,0,1,0,0,21.63793103448276,7
643,1,0,1,0,0,0,0,0,1,1,22.677104148540717,6
642,1,0,1,0,0,0,0,0,1,0,21.63793103448276,7
641,1,0,1,0,0,0,0,0,0,1,21.63793103448276,7
640,1,0,1,0,0,0,0,0,0,0,18.750000000000004,8
639,1,0,0,1,1,1,1,1,1,1,15.0,1
638,1,0,0,1,1,1,1,1,1,0,18.333333333333332,1
637,1,0,0,1,1,1,1,1,0,1,18.333333333333332,1
636,1,0,0,1,1,1,1,1,0,0,20.83333333333333,1
635,1,0,0,1,1,1,1,0,1,1,18.333333333333332,1
634,1,0,0,1,1,1,1,0,1,0,20.83333333333333,1
633,1,0,0,1,1,1,1,0,0,1,20.83333333333333,1
632,1,0,0,1,1,1,1,0,0,0,22.535114834634044,5
631,1,0,0,1,1,1,0,1,1,1,18.333333333333332,1
630,1,0,0,1,1,1,0,1,1,0,20.83333333333333,1
629,1,0,0,1,1,1,0,1,0,1,20.83333333333333,1
628,1,0,0,1,1,1,0,1,0,0,22.535867846792744,5
627,1,0,0,1,1,1,0,0,1,1,20.83333333333333,1
626,1,0,0,1,1,1,0,0,1,0,22.527326372526936,3
625,1,0,0,1,1,1,0,0,0,1,22.527326372526936,3
624,1,0,0,1,1,1,0,0,0,0,22.401645040320453,6
623,1,0,0,1,1,0,1,1,1,1,18.333333333333332,1
622,1,0,0,1,1,0,1,1,1,0,20.83333333333333,1
621,1,0,0,1,1,0,1,1,0,1,20.83333333333333,1
620,1,0,0,1,1,0,1,1,0,0,22.489671655411257,3
619,1,0,0,1,1,0,1,0,1,1,20.83333333333333,1
618,1,0,0,1,1,0,1,0,1,0,22.460115367908482,3
617,1,0,0,1,1,0,1,0,0,1,22.460115367908482,3
616,1,0,0,1,1,0,1,0,0,0,22.403444054053672,6
615,1,0,0,1,1,0,0,1,1,1,20.83333333333333,1
614,1,0,0,1,1,0,0,1,1,0,22.429578195575854,3
613,1,0,0,1,1,0,0,1,0,1,22.429578195575854,3
612,1,0,0,1,1,0,0,1,0,0,22.40446335936491,6
611,1,0,0,1,1,0,0,0,1,1,22.42917245525715,3
610,1,0,0,1,1,0,0,0,1,0,22.404778104756705,6
609,1,0,0,1,1,0,0,0,0,1,22.404778104756705,6
608,1,0,0,1,1,0,0,0,0,0,21.333333333333343,7
607,1,0,0,1,0,1,1,1,1,1,18.333333333333332,1
606,1,0,0,1,0,1,1,1,1,0,20.83333333333333,1
605,1,0,0,1,0,1,1,1,0,1,20.83333333333333,1
604,1,0,0,1,0,1,1,1,0,0,22.42201961280903,3
603,1,0,0,1,0,1,1,0,1,1,20.83333333333333,1
602,1,0,0,1,0,1,1,0,1,0,22.395565791491567,3
601,1,0,0,1,0,1,1,0,0,1,22.395565791491567,3
600,1,0,0,1,0,1,1,0,0,0,22.388421895616453,6
599,1,0,0,1,0,1,0,1,1,1,20.83333333333333,1
598,1,0,0,1,0,1,0,1,1,0,22.368953236140825,3
597,1,0,0,1,0,1,0,1,0,1,22.368953236140825,3
