,#bit11,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.479788694332285,All
471,0,0,1,1,1,0,1,0,1,1,1,22.91666666666668,1
470,0,0,1,1,1,0,1,0,1,1,0,24.72126598898096,5
469,0,0,1,1,1,0,1,0,1,0,1,24.72126598898096,5
468,0,0,1,1,1,0,1,0,1,0,0,24.680441287938848,6
467,0,0,1,1,1,0,1,0,0,1,1,24.72127826967987,5
466,0,0,1,1,1,0,1,0,0,1,0,24.680330377208655,6
465,0,0,1,1,1,0,1,0,0,0,1,24.680330377208655,6
464,0,0,1,1,1,0,1,0,0,0,0,23.91666666666668,11
463,0,0,1,1,1,0,0,1,1,1,1,22.91666666666668,1
462,0,0,1,1,1,0,0,1,1,1,0,24.720271194933115,5
461,0,0,1,1,1,0,0,1,1,0,1,24.720271194933115,5
460,0,0,1,1,1,0,0,1,1,0,0,24.680120181183177,6
459,0,0,1,1,1,0,0,1,0,1,1,24.720216213764495,5
458,0,0,1,1,1,0,0,1,0,1,0,24.680119052234602,6
457,0,0,1,1,1,0,0,1,0,0,1,24.680119052234602,6
456,0,0,1,1,1,0,0,1,0,0,0,23.91666666666668,11
455,0,0,1,1,1,0,0,0,1,1,1,24.720056114924503,5
454,0,0,1,1,1,0,0,0,1,1,0,24.67974319064552,6
453,0,0,1,1,1,0,0,0,1,0,1,24.67974319064552,6
452,0,0,1,1,1,0,0,0,1,0,0,23.91666666666668,11
451,0,0,1,1,1,0,0,0,0,1,1,24.679366809538003,6
450,0,0,1,1,1,0,0,0,0,1,0,23.91666666666668,11
449,0,0,1,1,1,0,0,0,0,0,1,23.91666666666668,11
448,0,0,1,1,1,0,0,0,0,0,0,21.16666666666668,11
447,0,0,1,1,0,1,1,1,1,1,1,20.16666666666668,1
446,0,0,1,1,0,1,1,1,1,1,0,22.91666666666668,1
445,0,0,1,1,0,1,1,1,1,0,1,22.91666666666668,1
444,0,0,1,1,0,1,1,1,1,0,0,24.69334931043356,5
443,0,0,1,1,0,1,1,1,0,1,1,22.91666666666668,1
442,0,0,1,1,0,1,1,1,0,1,0,24.69302368186747,5
441,0,0,1,1,0,1,1,1,0,0,1,24.69302368186747,5
440,0,0,1,1,0,1,1,1,0,0,0,24.671431439875477,6
439,0,0,1,1,0,1,1,0,1,1,1,22.91666666666668,1
438,0,0,1,1,0,1,1,0,1,1,0,24.692583847220018,5
437,0,0,1,1,0,1,1,0,1,0,1,24.692583847220018,5
436,0,0,1,1,0,1,1,0,1,0,0,24.67134663313221,6
435,0,0,1,1,0,1,1,0,0,1,1,24.69246569696187,5
434,0,0,1,1,0,1,1,0,0,1,0,24.671407818771154,6
433,0,0,1,1,0,1,1,0,0,0,1,24.671407818771154,6
432,0,0,1,1,0,1,1,0,0,0,0,23.91666666666668,11
431,0,0,1,1,0,1,0,1,1,1,1,22.91666666666668,1
430,0,0,1,1,0,1,0,1,1,1,0,24.69194110716766,5
429,0,0,1,1,0,1,0,1,1,0,1,24.69194110716766,5
428,0,0,1,1,0,1,0,1,1,0,0,24.670911535976114,6
427,0,0,1,1,0,1,0,1,0,1,1,24.691759261747347,5
426,0,0,1,1,0,1,0,1,0,1,0,24.671084087313165,6
425,0,0,1,1,0,1,0,1,0,0,1,24.671084087313165,6
424,0,0,1,1,0,1,0,1,0,0,0,23.91666666666668,11
423,0,0,1,1,0,1,0,0,1,1,1,24.691492816783295,5
422,0,0,1,1,0,1,0,0,1,1,0,24.67093508565145,6
421,0,0,1,1,0,1,0,0,1,0,1,24.67093508565145,6
420,0,0,1,1,0,1,0,0,1,0,0,23.91666666666668,11
419,0,0,1,1,0,1,0,0,0,1,1,24.67073526200849,6
418,0,0,1,1,0,1,0,0,0,1,0,23.91666666666668,11
417,0,0,1,1,0,1,0,0,0,0,1,23.91666666666668,11
416,0,0,1,1,0,1,0,0,0,0,0,21.16666666666668,11
415,0,0,1,1,0,0,1,1,1,1,1,22.91666666666668,1
414,0,0,1,1,0,0,1,1,1,1,0,24.680521033206958,5
413,0,0,1,1,0,0,1,1,1,0,1,24.680521033206958,5
412,0,0,1,1,0,0,1,1,1,0,0,24.670683240549927,6
411,0,0,1,1,0,0,1,1,0,1,1,24.680341853509542,5
410,0,0,1,1,0,0,1,1,0,1,0,24.670895705326682,6
409,0,0,1,1,0,0,1,1,0,0,1,24.670895705326682,6
408,0,0,1,1,0,0,1,1,0,0,0,23.91666666666668,11
407,0,0,1,1,0,0,1,0,1,1,1,24.68009984213028,5
406,0,0,1,1,0,0,1,0,1,1,0,24.670877929789945,6
405,0,0,1,1,0,0,1,0,1,0,1,24.670877929789945,6
404,0,0,1,1,0,0,1,0,1,0,0,23.91666666666668,11
403,0,0,1,1,0,0,1,0,0,1,1,24.670714994786856,6
402,0,0,1,1,0,0,1,0,0,1,0,23.91666666666668,11
401,0,0,1,1,0,0,1,0,0,0,1,23.91666666666668,11
400,0,0,1,1,0,0,1,0,0,0,0,21.16666666666668,11
399,0,0,1,1,0,0,0,1,1,1,1,24.669843241026822,5
398,0,0,1,1,0,0,0,1,1,1,0,24.6709264821064,6
397,0,0,1,1,0,0,0,1,1,0,1,24.6709264821064,6
396,0,0,1,1,0,0,0,1,1,0,0,23.91666666666668,11
395,0,0,1,1,0,0,0,1,0,1,1,24.670877426398246,6
394,0,0,1,1,0,0,0,1,0,1,0,23.91666666666668,11
393,0,0,1,1,0,0,0,1,0,0,1,23.91666666666668,11
392,0,0,1,1,0,0,0,1,0,0,0,21.16666666666668,11
391,0,0,1,1,0,0,0,0,1,1,1,24.67095192769379,6
390,0,0,1,1,0,0,0,0,1,1,0,23.91666666666668,11
389,0,0,1,1,0,0,0,0,1,0,1,23.91666666666668,11
388,0,0,1,1,0,0,0,0,1,0,0,21.16666666666668,11
387,0,0,1,1,0,0,0,0,0,1,1,23.91666666666668,11
386,0,0,1,1,0,0,0,0,0,1,0,21.16666666666668,11
385,0,0,1,1,0,0,0,0,0,0,1,21.16666666666668,11
384,0,0,1,1,0,0,0,0,0,0,0,17.50000000000001,11
383,0,0,1,0,1,1,1,1,1,1,1,20.16666666666668,1
382,0,0,1,0,1,1,1,1,1,1,0,22.91666666666668,1
381,0,0,1,0,1,1,1,1,1,0,1,22.91666666666668,1
380,0,0,1,0,1,1,1,1,1,0,0,24.62961818994972,5
379,0,0,1,0,1,1,1,1,0,1,1,22.91666666666668,1
378,0,0,1,0,1,1,1,1,0,1,0,24.629470733123245,5
377,0,0,1,0,1,1,1,1,0,0,1,24.629470733123245,5
376,0,0,1,0,1,1,1,1,0,0,0,24.632308956991356,6
375,0,0,1,0,1,1,1,0,1,1,1,22.91666666666668,1
374,0,0,1,0,1,1,1,0,1,1,0,24.629002142764993,5
373,0,0,1,0,1,1,1,0,1,0,1,24.629002142764993,5
372,0,0,1,0,1,1,1,0,1,0,0,24.632327580477337,6
371,0,0,1,0,1,1,1,0,0,1,1,24.62895988110481,5
370,0,0,1,0,1,1,1,0,0,1,0,24.632219517090913,6
369,0,0,1,0,1,1,1,0,0,0,1,24.632219517090913,6
368,0,0,1,0,1,1,1,0,0,0,0,23.91666666666668,11
367,0,0,1,0,1,1,0,1,1,1,1,22.91666666666668,1
366,0,0,1,0,1,1,0,1,1,1,0,24.628048145092745,5
365,0,0,1,0,1,1,0,1,1,0,1,24.628048145092745,5
364,0,0,1,0,1,1,0,1,1,0,0,24.63213147042292,6
363,0,0,1,0,1,1,0,1,0,1,1,24.62794399646245,5
362,0,0,1,0,1,1,0,1,0,1,0,24.632138322728384,6
361,0,0,1,0,1,1,0,1,0,0,1,24.632138322728384,6
360,0,0,1,0,1,1,0,1,0,0,0,23.91666666666668,11
359,0,0,1,0,1,1,0,0,1,1,1,24.62775234030732,5
358,0,0,1,0,1,1,0,0,1,1,0,24.632013027253567,6
357,0,0,1,0,1,1,0,0,1,0,1,24.632013027253567,6
356,0,0,1,0,1,1,0,0,1,0,0,23.91666666666668,11
355,0,0,1,0,1,1,0,0,0,1,1,24.63191901697684,6
354,0,0,1,0,1,1,0,0,0,1,0,23.91666666666668,11
353,0,0,1,0,1,1,0,0,0,0,1,23.91666666666668,11
352,0,0,1,0,1,1,0,0,0,0,0,21.16666666666668,11
351,0,0,1,0,1,0,1,1,1,1,1,22.91666666666668,1
350,0,0,1,0,1,0,1,1,1,1,0,24.61689987183291,5
349,0,0,1,0,1,0,1,1,1,0,1,24.61689987183291,5
348,0,0,1,0,1,0,1,1,1,0,0,24.632099601381164,6
347,0,0,1,0,1,0,1,1,0,1,1,24.616820431072576,5
346,0,0,1,0,1,0,1,1,0,1,0,24.63207291972891,6
345,0,0,1,0,1,0,1,1,0,0,1,24.63207291972891,6
344,0,0,1,0,1,0,1,1,0,0,0,23.91666666666668,11
343,0,0,1,0,1,0,1,0,1,1,1,24.616608373077547,5
342,0,0,1,0,1,0,1,0,1,1,0,24.63193682848472,6
341,0,0,1,0,1,0,1,0,1,0,1,24.63193682848472,6
340,0,0,1,0,1,0,1,0,1,0,0,23.91666666666668,11
339,0,0,1,0,1,0,1,0,0,1,1,24.63180634850741,6
338,0,0,1,0,1,0,1,0,0,1,0,23.91666666666668,11
337,0,0,1,0,1,0,1,0,0,0,1,23.91666666666668,11
336,0,0,1,0,1,0,1,0,0,0,0,21.16666666666668,11
335,0,0,1,0,1,0,0,1,1,1,1,24.606730662717354,5
334,0,0,1,0,1,0,0,1,1,1,0,24.631720972102798,6
333,0,0,1,0,1,0,0,1,1,0,1,24.631720972102798,6
332,0,0,1,0,1,0,0,1,1,0,0,23.91666666666668,11
331,0,0,1,0,1,0,0,1,0,1,1,24.63170783413052,6
330,0,0,1,0,1,0,0,1,0,1,0,23.91666666666668,11
329,0,0,1,0,1,0,0,1,0,0,1,23.91666666666668,11
328,0,0,1,0,1,0,0,1,0,0,0,21.16666666666668,11
327,0,0,1,0,1,0,0,0,1,1,1,24.631579703494126,6
326,0,0,1,0,1,0,0,0,1,1,0,23.91666666666668,11
325,0,0,1,0,1,0,0,0,1,0,1,23.91666666666668,11
324,0,0,1,0,1,0,0,0,1,0,0,21.16666666666668,11
323,0,0,1,0,1,0,0,0,0,1,1,23.91666666666668,11
322,0,0,1,0,1,0,0,0,0,1,0,21.16666666666668,11
321,0,0,1,0,1,0,0,0,0,0,1,21.16666666666668,11
320,0,0,1,0,1,0,0,0,0,0,0,17.50000000000001,11
319,0,0,1,0,0,1,1,1,1,1,1,22.91666666666668,1
318,0,0,1,0,0,1,1,1,1,1,0,24.57694489414658,5
317,0,0,1,0,0,1,1,1,1,0,1,24.57694489414658,5
316,0,0,1,0,0,1,1,1,1,0,0,24.61504339199481,6
315,0,0,1,0,0,1,1,1,0,1,1,24.576894813100356,5
314,0,0,1,0,0,1,1,1,0,1,0,24.614897296292714,6
313,0,0,1,0,0,1,1,1,0,0,1,24.614897296292714,6
312,0,0,1,0,0,1,1,1,0,0,0,23.91666666666668,11
311,0,0,1,0,0,1,1,0,1,1,1,24.576791491755312,5
310,0,0,1,0,0,1,1,0,1,1,0,24.61464089321252,6
309,0,0,1,0,0,1,1,0,1,0,1,24.61464089321252,6
308,0,0,1,0,0,1,1,0,1,0,0,23.91666666666668,11
307,0,0,1,0,0,1,1,0,0,1,1,24.614391047272903,6
306,0,0,1,0,0,1,1,0,0,1,0,23.91666666666668,11
305,0,0,1,0,0,1,1,0,0,0,1,23.91666666666668,11
304,0,0,1,0,0,1,1,0,0,0,0,21.16666666666668,11
303,0,0,1,0,0,1,0,1,1,1,1,24.567198436279625,5
302,0,0,1,0,0,1,0,1,1,1,0,24.614629420663434,6
301,0,0,1,0,0,1,0,1,1,0,1,24.614629420663434,6
300,0,0,1,0,0,1,0,1,1,0,0,23.91666666666668,11
299,0,0,1,0,0,1,0,1,0,1,1,24.614493984483524,6
298,0,0,1,0,0,1,0,1,0,1,0,23.91666666666668,11
297,0,0,1,0,0,1,0,1,0,0,1,23.91666666666668,11
296,0,0,1,0,0,1,0,1,0,0,0,21.16666666666668,11
295,0,0,1,0,0,1,0,0,1,1,1,24.614207952618752,6
294,0,0,1,0,0,1,0,0,1,1,0,23.91666666666668,11
293,0,0,1,0,0,1,0,0,1,0,1,23.91666666666668,11
292,0,0,1,0,0,1,0,0,1,0,0,21.16666666666668,11
291,0,0,1,0,0,1,0,0,0,1,1,23.91666666666668,11
290,0,0,1,0,0,1,0,0,0,1,0,21.16666666666668,11
289,0,0,1,0,0,1,0,0,0,0,1,21.16666666666668,11
288,0,0,1,0,0,1,0,0,0,0,0,17.50000000000001,11
287,0,0,1,0,0,0,1,1,1,1,1,24.531286481748683,5
286,0,0,1,0,0,0,1,1,1,1,0,24.605655327666813,6
285,0,0,1,0,0,0,1,1,1,0,1,24.605655327666813,6
284,0,0,1,0,0,0,1,1,1,0,0,23.91666666666668,11
283,0,0,1,0,0,0,1,1,0,1,1,24.605580692702727,6
282,0,0,1,0,0,0,1,1,0,1,0,23.91666666666668,11
281,0,0,1,0,0,0,1,1,0,0,1,23.91666666666668,11
280,0,0,1,0,0,0,1,1,0,0,0,21.16666666666668,11
279,0,0,1,0,0,0,1,0,1,1,1,24.605303703382813,6
278,0,0,1,0,0,0,1,0,1,1,0,23.91666666666668,11
277,0,0,1,0,0,0,1,0,1,0,1,23.91666666666668,11
276,0,0,1,0,0,0,1,0,1,0,0,21.16666666666668,11
275,0,0,1,0,0,0,1,0,0,1,1,23.91666666666668,11
274,0,0,1,0,0,0,1,0,0,1,0,21.16666666666668,11
273,0,0,1,0,0,0,1,0,0,0,1,21.16666666666668,11
272,0,0,1,0,0,0,1,0,0,0,0,17.50000000000001,11
271,0,0,1,0,0,0,0,1,1,1,1,24.604855165094868,6
270,0,0,1,0,0,0,0,1,1,1,0,23.91666666666668,11
269,0,0,1,0,0,0,0,1,1,0,1,23.91666666666668,11
268,0,0,1,0,0,0,0,1,1,0,0,21.16666666666668,11
267,0,0,1,0,0,0,0,1,0,1,1,23.91666666666668,11
266,0,0,1,0,0,0,0,1,0,1,0,21.16666666666668,11
265,0,0,1,0,0,0,0,1,0,0,1,21.16666666666668,11
264,0,0,1,0,0,0,0,1,0,0,0,17.50000000000001,11
263,0,0,1,0,0,0,0,0,1,1,1,23.91666666666668,11
262,0,0,1,0,0,0,0,0,1,1,0,21.16666666666668,11
261,0,0,1,0,0,0,0,0,1,0,1,21.16666666666668,11
260,0,0,1,0,0,0,0,0,1,0,0,17.50000000000001,11
259,0,0,1,0,0,0,0,0,0,1,1,21.16666666666668,11
258,0,0,1,0,0,0,0,0,0,1,0,17.50000000000001,11
257,0,0,1,0,0,0,0,0,0,0,1,17.50000000000001,11
256,0,0,1,0,0,0,0,0,0,0,0,12.000000000000009,11
255,0,0,0,1,1,1,1,1,1,1,1,20.16666666666668,1
254,0,0,0,1,1,1,1,1,1,1,0,22.91666666666668,1
253,0,0,0,1,1,1,1,1,1,0,1,22.91666666666668,1
252,0,0,0,1,1,1,1,1,1,0,0,24.510569788263016,5
251,0,0,0,1,1,1,1,1,0,1,1,22.91666666666668,1
250,0,0,0,1,1,1,1,1,0,1,0,24.5103301818078,5
249,0,0,0,1,1,1,1,1,0,0,1,24.5103301818078,5
248,0,0,0,1,1,1,1,1,0,0,0,24.493802097262606,6
247,0,0,0,1,1,1,1,0,1,1,1,22.91666666666668,1
246,0,0,0,1,1,1,1,0,1,1,0,24.509752728134796,5
245,0,0,0,1,1,1,1,0,1,0,1,24.509752728134796,5
244,0,0,0,1,1,1,1,0,1,0,0,24.494194077450647,6
243,0,0,0,1,1,1,1,0,0,1,1,24.509594597990112,5
242,0,0,0,1,1,1,1,0,0,1,0,24.494324656569418,6
241,0,0,0,1,1,1,1,0,0,0,1,24.494324656569418,6
240,0,0,0,1,1,1,1,0,0,0,0,23.91666666666668,11
239,0,0,0,1,1,1,0,1,1,1,1,22.91666666666668,1
238,0,0,0,1,1,1,0,1,1,1,0,24.508619476314955,5
237,0,0,0,1,1,1,0,1,1,0,1,24.508619476314955,5
236,0,0,0,1,1,1,0,1,1,0,0,24.494155187473012,6
235,0,0,0,1,1,1,0,1,0,1,1,24.50846456806552,5
234,0,0,0,1,1,1,0,1,0,1,0,24.494218812419238,6
233,0,0,0,1,1,1,0,1,0,0,1,24.494218812419238,6
232,0,0,0,1,1,1,0,1,0,0,0,23.91666666666668,11
231,0,0,0,1,1,1,0,0,1,1,1,24.508207060283766,5
230,0,0,0,1,1,1,0,0,1,1,0,24.494047072324967,6
229,0,0,0,1,1,1,0,0,1,0,1,24.494047072324967,6
228,0,0,0,1,1,1,0,0,1,0,0,23.91666666666668,11
227,0,0,0,1,1,1,0,0,0,1,1,24.494075930098965,6
226,0,0,0,1,1,1,0,0,0,1,0,23.91666666666668,11
225,0,0,0,1,1,1,0,0,0,0,1,23.91666666666668,11
224,0,0,0,1,1,1,0,0,0,0,0,21.16666666666668,11
223,0,0,0,1,1,0,1,1,1,1,1,22.91666666666668,1
222,0,0,0,1,1,0,1,1,1,1,0,24.49782932526072,5
221,0,0,0,1,1,0,1,1,1,0,1,24.49782932526072,5
220,0,0,0,1,1,0,1,1,1,0,0,24.494027378577673,6
219,0,0,0,1,1,0,1,1,0,1,1,24.497712706722652,5
218,0,0,0,1,1,0,1,1,0,1,0,24.49400855862166,6
217,0,0,0,1,1,0,1,1,0,0,1,24.49400855862166,6
216,0,0,0,1,1,0,1,1,0,0,0,23.91666666666668,11
215,0,0,0,1,1,0,1,0,1,1,1,24.49734761039956,5
214,0,0,0,1,1,0,1,0,1,1,0,24.494034406504696,6
213,0,0,0,1,1,0,1,0,1,0,1,24.494034406504696,6
212,0,0,0,1,1,0,1,0,1,0,0,23.91666666666668,11
211,0,0,0,1,1,0,1,0,0,1,1,24.49398234820713,6
210,0,0,0,1,1,0,1,0,0,1,0,23.91666666666668,11
209,0,0,0,1,1,0,1,0,0,0,1,23.91666666666668,11
208,0,0,0,1,1,0,1,0,0,0,0,21.16666666666668,11
207,0,0,0,1,1,0,0,1,1,1,1,24.48854814634945,5
206,0,0,0,1,1,0,0,1,1,1,0,24.493691154380702,6
205,0,0,0,1,1,0,0,1,1,0,1,24.493691154380702,6
204,0,0,0,1,1,0,0,1,1,0,0,23.91666666666668,11
203,0,0,0,1,1,0,0,1,0,1,1,24.493569910842083,6
202,0,0,0,1,1,0,0,1,0,1,0,23.91666666666668,11
201,0,0,0,1,1,0,0,1,0,0,1,23.91666666666668,11
200,0,0,0,1,1,0,0,1,0,0,0,21.16666666666668,11
199,0,0,0,1,1,0,0,0,1,1,1,24.493311629817192,6
198,0,0,0,1,1,0,0,0,1,1,0,23.91666666666668,11
197,0,0,0,1,1,0,0,0,1,0,1,23.91666666666668,11
196,0,0,0,1,1,0,0,0,1,0,0,21.16666666666668,11
195,0,0,0,1,1,0,0,0,0,1,1,23.91666666666668,11
194,0,0,0,1,1,0,0,0,0,1,0,21.16666666666668,11
193,0,0,0,1,1,0,0,0,0,0,1,21.16666666666668,11
192,0,0,0,1,1,0,0,0,0,0,0,17.50000000000001,11
191,0,0,0,1,0,1,1,1,1,1,1,22.91666666666668,1
190,0,0,0,1,0,1,1,1,1,1,0,24.46192628872755,5
189,0,0,0,1,0,1,1,1,1,0,1,24.46192628872755,5
188,0,0,0,1,0,1,1,1,1,0,0,24.479061454245024,6
187,0,0,0,1,0,1,1,1,0,1,1,24.461774150322416,5
186,0,0,0,1,0,1,1,1,0,1,0,24.47912091040418,6
185,0,0,0,1,0,1,1,1,0,0,1,24.47912091040418,6
184,0,0,0,1,0,1,1,1,0,0,0,23.91666666666668,11
183,0,0,0,1,0,1,1,0,1,1,1,24.46146709329696,5
182,0,0,0,1,0,1,1,0,1,1,0,24.47917766172494,6
181,0,0,0,1,0,1,1,0,1,0,1,24.47917766172494,6
180,0,0,0,1,0,1,1,0,1,0,0,23.91666666666668,11
179,0,0,0,1,0,1,1,0,0,1,1,24.479203341917877,6
178,0,0,0,1,0,1,1,0,0,1,0,23.91666666666668,11
177,0,0,0,1,0,1,1,0,0,0,1,23.91666666666668,11
176,0,0,0,1,0,1,1,0,0,0,0,21.16666666666668,11
175,0,0,0,1,0,1,0,1,1,1,1,24.45288651780361,5
174,0,0,0,1,0,1,0,1,1,1,0,24.47902540832827,6
173,0,0,0,1,0,1,0,1,1,0,1,24.47902540832827,6
172,0,0,0,1,0,1,0,1,1,0,0,23.91666666666668,11
171,0,0,0,1,0,1,0,1,0,1,1,24.478980973141553,6
170,0,0,0,1,0,1,0,1,0,1,0,23.91666666666668,11
169,0,0,0,1,0,1,0,1,0,0,1,23.91666666666668,11
168,0,0,0,1,0,1,0,1,0,0,0,21.16666666666668,11
167,0,0,0,1,0,1,0,0,1,1,1,24.478724656999198,6
166,0,0,0,1,0,1,0,0,1,1,0,23.91666666666668,11
165,0,0,0,1,0,1,0,0,1,0,1,23.91666666666668,11
164,0,0,0,1,0,1,0,0,1,0,0,21.16666666666668,11
163,0,0,0,1,0,1,0,0,0,1,1,23.91666666666668,11
162,0,0,0,1,0,1,0,0,0,1,0,21.16666666666668,11
161,0,0,0,1,0,1,0,0,0,0,1,21.16666666666668,11
160,0,0,0,1,0,1,0,0,0,0,0,17.50000000000001,11
159,0,0,0,1,0,0,1,1,1,1,1,24.420227775726822,5
158,0,0,0,1,0,0,1,1,1,1,0,24.471442349525628,6
157,0,0,0,1,0,0,1,1,1,0,1,24.471442349525628,6
156,0,0,0,1,0,0,1,1,1,0,0,23.91666666666668,11
155,0,0,0,1,0,0,1,1,0,1,1,24.471409024271153,6
154,0,0,0,1,0,0,1,1,0,1,0,23.91666666666668,11
153,0,0,0,1,0,0,1,1,0,0,1,23.91666666666668,11
152,0,0,0,1,0,0,1,1,0,0,0,21.16666666666668,11
151,0,0,0,1,0,0,1,0,1,1,1,24.47138656375725,6
150,0,0,0,1,0,0,1,0,1,1,0,23.91666666666668,11
149,0,0,0,1,0,0,1,0,1,0,1,23.91666666666668,11
148,0,0,0,1,0,0,1,0,1,0,0,21.16666666666668,11
147,0,0,0,1,0,0,1,0,0,1,1,23.91666666666668,11
146,0,0,0,1,0,0,1,0,0,1,0,21.16666666666668,11
145,0,0,0,1,0,0,1,0,0,0,1,21.16666666666668,11
144,0,0,0,1,0,0,1,0,0,0,0,17.50000000000001,11
143,0,0,0,1,0,0,0,1,1,1,1,24.471153993641746,6
142,0,0,0,1,0,0,0,1,1,1,0,23.91666666666668,11
141,0,0,0,1,0,0,0,1,1,0,1,23.91666666666668,11
140,0,0,0,1,0,0,0,1,1,0,0,21.16666666666668,11
139,0,0,0,1,0,0,0,1,0,1,1,23.91666666666668,11
138,0,0,0,1,0,0,0,1,0,1,0,21.16666666666668,11
137,0,0,0,1,0,0,0,1,0,0,1,21.16666666666668,11
136,0,0,0,1,0,0,0,1,0,0,0,17.50000000000001,11
135,0,0,0,1,0,0,0,0,1,1,1,23.91666666666668,11
134,0,0,0,1,0,0,0,0,1,1,0,21.16666666666668,11
133,0,0,0,1,0,0,0,0,1,0,1,21.16666666666668,11
132,0,0,0,1,0,0,0,0,1,0,0,17.50000000000001,11
131,0,0,0,1,0,0,0,0,0,1,1,21.16666666666668,11
130,0,0,0,1,0,0,0,0,0,1,0,17.50000000000001,11
129,0,0,0,1,0,0,0,0,0,0,1,17.50000000000001,11
128,0,0,0,1,0,0,0,0,0,0,0,12.000000000000009,11
127,0,0,0,0,1,1,1,1,1,1,1,22.91666666666668,1
126,0,0,0,0,1,1,1,1,1,1,0,24.379975035336283,5
125,0,0,0,0,1,1,1,1,1,0,1,24.379975035336283,5
124,0,0,0,0,1,1,1,1,1,0,0,24.39392585116248,6
123,0,0,0,0,1,1,1,1,0,1,1,24.37995704192314,5
122,0,0,0,0,1,1,1,1,0,1,0,24.393692345761735,6
121,0,0,0,0,1,1,1,1,0,0,1,24.393692345761735,6
120,0,0,0,0,1,1,1,1,0,0,0,23.91666666666668,11
119,0,0,0,0,1,1,1,0,1,1,1,24.379771235932925,5
118,0,0,0,0,1,1,1,0,1,1,0,24.393644364300105,6
117,0,0,0,0,1,1,1,0,1,0,1,24.393644364300105,6
116,0,0,0,0,1,1,1,0,1,0,0,23.91666666666668,11
115,0,0,0,0,1,1,1,0,0,1,1,24.39358305923166,6
114,0,0,0,0,1,1,1,0,0,1,0,23.91666666666668,11
113,0,0,0,0,1,1,1,0,0,0,1,23.91666666666668,11
112,0,0,0,0,1,1,1,0,0,0,0,21.16666666666668,11
111,0,0,0,0,1,1,0,1,1,1,1,24.371784035872626,5
110,0,0,0,0,1,1,0,1,1,1,0,24.393623169130176,6
109,0,0,0,0,1,1,0,1,1,0,1,24.393623169130176,6
108,0,0,0,0,1,1,0,1,1,0,0,23.91666666666668,11
107,0,0,0,0,1,1,0,1,0,1,1,24.393505587249905,6
106,0,0,0,0,1,1,0,1,0,1,0,23.91666666666668,11
105,0,0,0,0,1,1,0,1,0,0,1,23.91666666666668,11
104,0,0,0,0,1,1,0,1,0,0,0,21.16666666666668,11
103,0,0,0,0,1,1,0,0,1,1,1,24.39329347754392,6
102,0,0,0,0,1,1,0,0,1,1,0,23.91666666666668,11
101,0,0,0,0,1,1,0,0,1,0,1,23.91666666666668,11
100,0,0,0,0,1,1,0,0,1,0,0,21.16666666666668,11
99,0,0,0,0,1,1,0,0,0,1,1,23.91666666666668,11
98,0,0,0,0,1,1,0,0,0,1,0,21.16666666666668,11
97,0,0,0,0,1,1,0,0,0,0,1,21.16666666666668,11
96,0,0,0,0,1,1,0,0,0,0,0,17.50000000000001,11
95,0,0,0,0,1,0,1,1,1,1,1,24.341182182836917,5
94,0,0,0,0,1,0,1,1,1,1,0,24.38680162437174,6
93,0,0,0,0,1,0,1,1,1,0,1,24.38680162437174,6
92,0,0,0,0,1,0,1,1,1,0,0,23.91666666666668,11
91,0,0,0,0,1,0,1,1,0,1,1,24.386629778863725,6
90,0,0,0,0,1,0,1,1,0,1,0,23.91666666666668,11
89,0,0,0,0,1,0,1,1,0,0,1,23.91666666666668,11
88,0,0,0,0,1,0,1,1,0,0,0,21.16666666666668,11
87,0,0,0,0,1,0,1,0,1,1,1,24.386309094668725,6
86,0,0,0,0,1,0,1,0,1,1,0,23.91666666666668,11
85,0,0,0,0,1,0,1,0,1,0,1,23.91666666666668,11
84,0,0,0,0,1,0,1,0,1,0,0,21.16666666666668,11
83,0,0,0,0,1,0,1,0,0,1,1,23.91666666666668,11
82,0,0,0,0,1,0,1,0,0,1,0,21.16666666666668,11
81,0,0,0,0,1,0,1,0,0,0,1,21.16666666666668,11
80,0,0,0,0,1,0,1,0,0,0,0,17.50000000000001,11
79,0,0,0,0,1,0,0,1,1,1,1,24.38557513789572,6
78,0,0,0,0,1,0,0,1,1,1,0,23.91666666666668,11
77,0,0,0,0,1,0,0,1,1,0,1,23.91666666666668,11
76,0,0,0,0,1,0,0,1,1,0,0,21.16666666666668,11
75,0,0,0,0,1,0,0,1,0,1,1,23.91666666666668,11
74,0,0,0,0,1,0,0,1,0,1,0,21.16666666666668,11
73,0,0,0,0,1,0,0,1,0,0,1,21.16666666666668,11
72,0,0,0,0,1,0,0,1,0,0,0,17.50000000000001,11
71,0,0,0,0,1,0,0,0,1,1,1,23.91666666666668,11
70,0,0,0,0,1,0,0,0,1,1,0,21.16666666666668,11
69,0,0,0,0,1,0,0,0,1,0,1,21.16666666666668,11
68,0,0,0,0,1,0,0,0,1,0,0,17.50000000000001,11
67,0,0,0,0,1,0,0,0,0,1,1,21.16666666666668,11
66,0,0,0,0,1,0,0,0,0,1,0,17.50000000000001,11
65,0,0,0,0,1,0,0,0,0,0,1,17.50000000000001,11
64,0,0,0,0,1,0,0,0,0,0,0,12.000000000000009,11
