,#bit11,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.479788694332285,All
1802,1,1,1,0,0,0,0,1,0,1,0,26.538157788175816,3
1801,1,1,1,0,0,0,0,1,0,0,1,26.538157788175816,3
1800,1,1,1,0,0,0,0,1,0,0,0,27.27501058825661,3
1799,1,1,1,0,0,0,0,0,1,1,1,25.11666666666668,1
1798,1,1,1,0,0,0,0,0,1,1,0,26.5257098186953,3
1797,1,1,1,0,0,0,0,0,1,0,1,26.5257098186953,3
1796,1,1,1,0,0,0,0,0,1,0,0,27.24821594098095,3
1795,1,1,1,0,0,0,0,0,0,1,1,26.538611713736113,3
1794,1,1,1,0,0,0,0,0,0,1,0,27.235871589611353,3
1793,1,1,1,0,0,0,0,0,0,0,1,27.235871589611353,3
1792,1,1,1,0,0,0,0,0,0,0,0,27.63095238095241,4
1791,1,1,0,1,1,1,1,1,1,1,1,11.000000000000009,1
1790,1,1,0,1,1,1,1,1,1,1,0,16.50000000000001,1
1789,1,1,0,1,1,1,1,1,1,0,1,16.50000000000001,1
1788,1,1,0,1,1,1,1,1,1,0,0,20.16666666666668,1
1787,1,1,0,1,1,1,1,1,0,1,1,16.50000000000001,1
1786,1,1,0,1,1,1,1,1,0,1,0,20.16666666666668,1
1785,1,1,0,1,1,1,1,1,0,0,1,20.16666666666668,1
1784,1,1,0,1,1,1,1,1,0,0,0,22.91666666666668,1
1783,1,1,0,1,1,1,1,0,1,1,1,16.50000000000001,1
1782,1,1,0,1,1,1,1,0,1,1,0,20.16666666666668,1
1781,1,1,0,1,1,1,1,0,1,0,1,20.16666666666668,1
1780,1,1,0,1,1,1,1,0,1,0,0,22.91666666666668,1
1779,1,1,0,1,1,1,1,0,0,1,1,20.16666666666668,1
1778,1,1,0,1,1,1,1,0,0,1,0,22.91666666666668,1
1777,1,1,0,1,1,1,1,0,0,0,1,22.91666666666668,1
1776,1,1,0,1,1,1,1,0,0,0,0,25.11666666666668,1
1775,1,1,0,1,1,1,0,1,1,1,1,16.50000000000001,1
1774,1,1,0,1,1,1,0,1,1,1,0,20.16666666666668,1
1773,1,1,0,1,1,1,0,1,1,0,1,20.16666666666668,1
1772,1,1,0,1,1,1,0,1,1,0,0,22.91666666666668,1
1771,1,1,0,1,1,1,0,1,0,1,1,20.16666666666668,1
1770,1,1,0,1,1,1,0,1,0,1,0,22.91666666666668,1
1769,1,1,0,1,1,1,0,1,0,0,1,22.91666666666668,1
1768,1,1,0,1,1,1,0,1,0,0,0,25.11666666666668,1
1767,1,1,0,1,1,1,0,0,1,1,1,20.16666666666668,1
1766,1,1,0,1,1,1,0,0,1,1,0,22.91666666666668,1
1765,1,1,0,1,1,1,0,0,1,0,1,22.91666666666668,1
1764,1,1,0,1,1,1,0,0,1,0,0,25.11666666666668,1
1763,1,1,0,1,1,1,0,0,0,1,1,22.91666666666668,1
1762,1,1,0,1,1,1,0,0,0,1,0,25.11666666666668,1
1761,1,1,0,1,1,1,0,0,0,0,1,25.11666666666668,1
1760,1,1,0,1,1,1,0,0,0,0,0,26.58333333333335,2
1759,1,1,0,1,1,0,1,1,1,1,1,16.50000000000001,1
1758,1,1,0,1,1,0,1,1,1,1,0,20.16666666666668,1
1757,1,1,0,1,1,0,1,1,1,0,1,20.16666666666668,1
1756,1,1,0,1,1,0,1,1,1,0,0,22.91666666666668,1
1755,1,1,0,1,1,0,1,1,0,1,1,20.16666666666668,1
1754,1,1,0,1,1,0,1,1,0,1,0,22.91666666666668,1
1753,1,1,0,1,1,0,1,1,0,0,1,22.91666666666668,1
1752,1,1,0,1,1,0,1,1,0,0,0,25.11666666666668,1
