,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}]
2412,69,36624.43452244628,67,36624.44390033109,0.01563013137183879,36708.330104222325,0.015156591273461013,,0.015156591273461013,91458.48389987214,0.003067484662576687,91560.42221712103,1,36996.37676270786,0.00022222222222222223,93884.56006381944,0.00022222222222222223,59350.198506008506
2411,69,36625.13294076851,67,36625.142745334866,0.015818546811872523,36709.0347430423,0.015332531929482437,,0.015332531929482437,91459.18866292627,0.0030864197530864196,91561.38961994169,1,36998.530903445055,0.00022222222222222223,93887.87193613521,0.00022222222222222223,59352.29214397447
2410,71,36625.82701454945,69,36625.83647287382,0.01600667064646647,36709.73488392489,0.01551149310259931,,0.01551149310259931,91459.88893030865,0.003105590062111801,91562.35274105844,1,37000.6840134929,0.00022222222222222223,93891.18148932925,0.00022222222222222223,59354.38431588112
2409,71,36626.51662496409,69,36626.52640581851,0.01620132559358483,36710.430527099605,0.015693550104177976,,0.015693550104177976,91460.584702287,0.003125,91563.3115770954,1,37002.83609383723,0.00022222222222222223,93894.48872591987,0.00022222222222222223,59356.47502332041
2408,73,36627.20198151359,69,36627.21249423006,0.016398617225462184,36711.12167278042,0.01587877766799831,,0.01587877766799831,91461.27597912072,0.0031446540880503146,91564.26612460888,1,37004.987145462466,0.00022222222222222223,93897.7936484216,0.00022222222222222223,59358.56426788193
2407,73,36627.88280375472,71,36627.89284250153,0.016599482171092705,36711.808321160956,0.016068361120773793,,0.016068361120773793,91461.9627581249,0.0031645569620253164,91565.21638008695,1,37007.13716935162,0.00022222222222222223,93901.09625934523,0.00022222222222222223,59360.65205115293
2406,73,36628.55939501335,71,36628.56990645603,0.01680403866784207,36712.490472421494,0.016260708242933276,,0.016260708242933276,91462.64504352733,0.0031847133757961785,91566.16233994767,1,37009.28616648629,0.00022222222222222223,93904.3965611978,0.00022222222222222223,59362.73837471825
2405,75,36629.23144971627,73,36629.241696519544,0.017012356712203226,36713.16812672681,0.016453101194311374,,0.016453101194311374,91463.32284311812,0.003205128205128205,91567.10400053835,1,37011.43413784666,0.00022222222222222223,93907.69455648263,0.00022222222222222223,59364.82324016038
2404,75,36629.8992262783,73,36629.90984103981,0.017224521729887306,36713.84128422603,0.016654574162421294,,0.016654574162421294,91463.99613471315,0.0032258064516129032,91568.04135813408,1,37013.58108441155,0.00022222222222222223,93910.99024769924,0.00022222222222222223,59366.90664905943
2403,77,36630.56253587432,75,36630.57297673941,0.017440635086731528,36714.509945051694,0.016855161681939387,,0.016855161681939387,91464.66494299179,0.003246753246753247,91568.974408937,1,37015.727007158326,0.00022222222222222223,93914.2836373435,0.00022222222222222223,59368.988602993166
2402,77,36631.22151902674,75,36631.2322708245,0.01766079874119219,36715.17410932063,0.017062456781839982,,0.017062456781839982,91465.32924992744,0.0032679738562091504,91569.90314907426,1,37017.871907062996,0.00022222222222222223,93917.57472790738,0.00022222222222222223,59371.069103537
2401,79,36631.87605500281,77,36631.88669013911,0.017885120311896964,36715.83377713265,0.01727202769076261,,0.01727202769076261,91465.98906649812,0.003289473684210526,91570.82757459754,1,37020.01578510015,0.00022222222222222223,93920.8635218794,0.00022222222222222223,59373.14815226398
2400,79,36632.526257973666,77,36632.53717794535,0.01811451299059591,36716.48894857217,0.017485619352140252,,0.017485619352140252,91466.64438899996,0.0033112582781456954,91571.74768148133,1,37022.158642243,0.00022222222222222223,93924.1500217442,0.00022222222222222223,59375.22575074485
2399,81,36633.17200104871,79,36633.182842899754,0.018345593542066684,36717.1396237037,0.01770310505444221,,0.01770310505444221,91467.29521807283,0.0033333333333333335,91572.6634656215,1,37024.30047946336,0.00022222222222222223,93927.43422998268,0.00022222222222222223,59377.301900547944
2398,81,36633.813432620474,79,36633.8245524461,0.018583460392049795,36717.78580257358,0.01792457960848207,,0.01792457960848207,91467.94155384085,0.003355704697986577,91573.57492283429,1,37026.44129773167,0.00022222222222222223,93930.71614907228,0.00022222222222222223,59379.37660323936
2397,83,36634.45037024333,81,36634.46144148077,0.018827434148344837,36718.42748521827,0.018150140536941965,,0.018150140536941965,91468.58339641262,0.0033783783783783786,91574.48204885451,1,37028.58109801697,0.00022222222222222223,93933.99578148645,0.00022222222222222223,59381.44986038277
