,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}],dynamic-(1+1){>0}-p-drift-1/2n,T[dynamic-(1+1){>0}-p-drift-1/2n],dynamic-(1+1){>0}-p-drift-1/n,T[dynamic-(1+1){>0}-p-drift-1/n],dynamic-(1+1){>0}-p-opt-1/2n,T[dynamic-(1+1){>0}-p-opt-1/2n],dynamic-(1+1){>0}-p-opt-1/n,T[dynamic-(1+1){>0}-p-opt-1/n],old-1+1{>0}-1/2n,T[old-1+1{>0}-1/2n]
3055,1,23367.44592610981,1,23367.44592610981,8.16326530612245e-08,23370.65742289763,5.9608609865491405e-06,,0.0003865099414822236,61699.8900595319,0.0003872090841270575,61700.05967534372,0.00038284839203675346,61699.956636445066,1,23367.44592610981,0.00028571428571428574,61843.827892542315,0.00028571428571428574,39096.005587776606,0.00014285714285714287,29971.117363367688,0.00028571428571428574,39096.005587776606,0.00014285714285714287,29971.117363367688,0.00028571428571428574,39096.005587776606,0.00014285714285714287,29971.117363367688
3054,1,23375.293459742086,1,23375.293459742086,8.16326530612245e-08,23378.505791929485,5.9608609865491405e-06,,0.0003868276071263615,61717.07201673195,0.00038387574509992674,61717.242091295855,0.0003831417624521073,61717.139257040646,1,23375.293459742086,0.00028571428571428574,61861.641549261774,0.00028571428571428574,39107.26690271094,0.00014285714285714287,29980.54211120025,0.00028571428571428574,39107.26690271094,0.00014285714285714287,29980.54211120025,0.00028571428571428574,39107.26690271094,0.00014285714285714287,29980.54211120025
3053,1,23383.123437370716,1,23383.123437370716,8.16326530612245e-08,23386.336602449464,5.9608609865491405e-06,,0.00038714585551854943,61734.20602505073,0.00039003597886819863,61734.37649694823,0.0003834355828220859,61734.273934287805,1,23383.123437370716,0.00028571428571428574,61879.40857729828,0.00028571428571428574,39118.49874024531,0.00014285714285714287,29989.94419313467,0.00028571428571428574,39118.49874024531,0.00014285714285714287,29989.94419313467,0.00028571428571428574,39118.49874024531,0.00014285714285714287,29989.94419313467
3052,1,23390.935937370705,1,23390.935937370705,8.16326530612245e-08,23394.149932843775,5.9608609865491405e-06,,0.0003874646882305891,61751.292297260086,0.0003902864383432166,61751.4631471812,0.0003837298541826554,61751.36088099601,1,23390.935937370705,0.00028571428571428574,61897.12918912356,0.00028571428571428574,39129.70123469866,0.00014285714285714287,29999.323710834356,0.00028571428571428574,39129.70123469866,0.00014285714285714287,29999.323710834356,0.00028571428571428574,39129.70123469866,0.00014285714285714287,29999.323710834356
3051,1,23398.731037593414,1,23398.731037593414,8.16326530612245e-08,23401.945860974913,5.9608609865491405e-06,,0.00038778410683785764,61768.33104470758,0.00039053845330509274,61768.502253057035,0.00038402457757296467,61768.400308550605,1,23398.731037593414,0.00028571428571428574,61914.80359578619,0.00028571428571428574,39140.8745194902,0.00014285714285714287,30008.680765283276,0.00028571428571428574,39140.8745194902,0.00014285714285714287,30008.680765283276,0.00028571428571428574,39140.8745194902,0.00014285714285714287,30008.680765283276
3050,1,23406.508815371188,1,23406.508815371188,8.16326530612245e-08,23409.724464186253,5.9608609865491405e-06,,0.00038810411291883895,61785.32247732902,0.00038745867200615773,61785.493676043574,0.0003843197540353574,61785.392426925544,1,23406.508815371188,0.00028571428571428574,61932.43200692412,0.00028571428571428574,39152.018727147435,0.00014285714285714287,30018.015456791953,0.00028571428571428574,39152.018727147435,0.00014285714285714287,30018.015456791953,0.00028571428571428574,39152.018727147435,0.00014285714285714287,30018.015456791953
3049,1,23414.269347521957,1,23414.269347521957,8.16326530612245e-08,23417.485819306716,5.9608609865491405e-06,,0.00038842470805442445,61802.26680366114,0.00038771376029935053,61802.43802743256,0.0003846153846153846,61802.33744469576,1,23414.269347521957,0.00028571428571428574,61950.01463077736,0.00028571428571428574,39163.133989314076,0.00014285714285714287,30027.327885003517,0.00028571428571428574,39163.133989314076,0.00014285714285714287,30027.327885003517,0.00028571428571428574,39163.133989314076,0.00014285714285714287,30027.327885003517
3048,1,23422.012710353807,1,23422.012710353807,8.16326530612245e-08,23425.23000265528,5.9608609865491405e-06,,0.0003887458938292057,61819.164230853756,0.00038797036685577033,61819.33548332866,0.00038491147036181676,61819.235569049604,1,23422.012710353807,0.00028571428571428574,61967.55167420024,0.00028571428571428574,39174.22043675786,0.00014285714285714287,30036.618148899543,0.00028571428571428574,39174.22043675786,0.00014285714285714287,30036.618148899543,0.00028571428571428574,39174.22043675786,0.00014285714285714287,30036.618148899543
3047,1,23429.738979669473,1,23429.738979669473,8.16326530612245e-08,23432.957090045515,5.9608609865491405e-06,,0.0003890676718306742,61836.01496468226,0.00038822847968321205,61836.18625056463,0.0003852080123266564,61836.08700580113,1,23429.738979669473,0.00028571428571428574,61985.04334267364,0.00028571428571428574,39185.27819937829,0.00014285714285714287,30045.88634680592,0.00028571428571428574,39185.27819937829,0.00014285714285714287,30045.88634680592,0.00028571428571428574,39185.27819937829,0.00014285714285714287,30045.88634680592
3046,1,23437.448230770788,1,23437.448230770788,8.16326530612245e-08,23440.66715679002,5.9608609865491405e-06,,0.00038939004364955303,61852.81920955951,0.0003884880869855824,61852.99053381233,0.00038550501156515033,61852.89195940215,1,23437.448230770788,0.00028571428571428574,62002.48984031718,0.00028571428571428574,39196.307406214306,0.00014285714285714287,30055.13257639862,0.00028571428571428574,39196.307406214306,0.00014285714285714287,30055.13257639862,0.00028571428571428574,39196.307406214306,0.00014285714285714287,30055.13257639862
