,Expected Time,k^*
292,2943.432998337064,11
291,2945.008458801945,11
290,2946.5419225654928,13
289,2948.0380828426096,13
288,2949.5003914155723,13
287,2950.920302026295,15
286,2952.3036295406855,15
285,2953.649001653382,17
284,2954.9552662149536,17
283,2956.2233538004302,19
282,2957.4528605364767,19
281,2958.642618065876,21
280,2959.7942195115806,23
279,2960.9063692131494,23
278,2961.978326922255,25
277,2963.0110988465963,27
276,2964.0041986424944,29
275,2964.9573985338247,31
274,2965.8706130910446,33
273,2966.7438987934634,35
272,2967.5761344445964,39
271,2968.368210868231,41
270,2969.1193405734434,45
269,2969.8296049679166,49
268,2970.4990520919314,53
267,2971.1274235791902,57
266,2971.7143829996517,63
265,2972.2601213181956,69
264,2972.7646481056704,75
263,2973.227997955162,83
262,2973.650247402781,89
261,2974.031504241934,99
260,2974.372513916121,109
259,2974.6735362920663,119
258,2974.9355620652223,129
257,2975.159521701885,143
256,2975.3466866667295,155
255,2975.4987716701617,169
254,2975.6176344293776,185
253,2975.7055346307598,201
252,2975.764918328009,217
251,2975.7985430068834,233
250,2975.809308806143,249
249,2975.809308806142,250
248,2975.8073569134335,251
247,2975.8034535006536,252
246,2975.7982262091177,253
245,2975.791254506368,254
244,2975.783327293222,255
243,2975.773803190291,256
242,2975.7635134356146,257
241,2975.7517230847475,258
240,2975.739231807951,259
239,2975.7252913329853,260
238,2975.7106249485187,261
237,2975.6945205208076,262
236,2975.677599441785,263
235,2975.659214603461,264
234,2975.6398733480355,265
233,2975.619008226616,266
232,2975.5970101091084,267
231,2975.573395542861,268
230,2975.548443813995,269
229,2975.52175214211,270
228,2975.49349847378,271
227,2975.463351744786,272
226,2975.4314022448903,273
225,2975.3973778898585,274
224,2975.3612964497606,275
223,2975.322930133406,276
222,2975.2822388902905,277
221,2975.2390243157224,278
220,2975.1932012836037,279
219,2975.144587079372,280
218,2975.0930613879323,281
217,2975.03844563432,282
216,2974.980591112405,283
215,2974.9193143507264,284
214,2974.854442277613,285
213,2974.7857798839414,286
212,2974.7131316098285,287
211,2974.6362862371448,288
210,2974.555026140954,289
209,2974.4691206645234,290
208,2974.3783296880456,291
207,2974.2824008508205,292
206,2974.181070697766,293
205,2974.0740635132993,294
204,2973.9610915458275,295
203,2973.841854477583,296
202,2973.716039356015,297
201,2973.5833203185293,298
200,2973.4433584732174,299
199,2973.295801749346,300
198,2973.1402848162134,301
197,2972.9764290253056,302
196,2972.803842400969,303
195,2972.6221196711226,304
194,2972.430842344653,305
193,2972.2295788349625,306
192,2972.0178846315243,307
191,2971.7953025197617,308
190,2971.5613628492765,309
189,2971.3155838498556,310
188,2971.057471993939,311
187,2970.7865224036495,312
186,2970.502219299687,313
185,2970.204036488766,314
184,2969.8914378854965,315
183,2969.563878064075,316
182,2969.2208028343803,317
181,2968.8616498366664,318
180,2968.4858491485625,319
179,2968.092823897676,320
178,2967.68199087298,321
177,2967.2527611280702,322
176,2966.8045405693824,323
175,2966.3367305228053,324
174,2965.8487282724514,325
173,2965.3399275659144,326
172,2964.8097190810877,327
171,2964.2574908503543,328
170,2963.682628639084,329
169,2963.084516276183,330
168,2962.462535935745,331
167,2961.8160683698625,332
166,2961.1444930937537,333
165,2960.447188525503,334
164,2959.7235320835875,335
163,2958.972900246348,336
162,2958.1946685781704,337
161,2957.388211727785,338
160,2956.552903404482,339
159,2955.6881163382195,340
158,2954.7932222296445,341
157,2953.8675916959487,342
156,2952.9105942181327,343
155,2951.9215980948707,344
154,2950.8999704076514,345
153,2949.8450770012423,346
152,2948.7562824828988,347
151,2947.632950243081,348
150,2946.4744424997984,349
149,2945.2801203681247,350
148,2944.049343955767,351
147,2942.781472485312,352
146,2941.4758644431026,353
145,2940.1318777546603,354
144,2938.7488699861633,355
143,2937.3261985715017,356
142,2935.863221064214,357
141,2934.3592954138544,358
140,2932.8137802661763,359
139,2931.226035286707,360
138,2929.5954215074153,361
137,2927.9213016960766,362
136,2926.203040747885,363
135,2924.4400060986345,364
134,2922.6315681581377,365
