,Binary Representation,Expected Time,k-opt
Expected Time General,NaN,18.216064453124993,All
2135,#100001010111,28.699523366580557,5
2134,#100001010110,28.86839373758016,6
2133,#100001010101,28.86839373758016,6
2132,#100001010100,28.203636363636345,9
2131,#100001010011,28.868317880704478,6
2130,#100001010010,28.203636363636345,9
2129,#100001010001,28.203636363636345,9
2128,#100001010000,26.181818181818155,10
2127,#100001001111,28.69315141413575,5
2126,#100001001110,28.868544598546137,6
2125,#100001001101,28.868544598546137,6
2124,#100001001100,28.203636363636345,9
2123,#100001001011,28.868465317312854,6
2122,#100001001010,28.203636363636345,9
2121,#100001001001,28.203636363636345,9
2120,#100001001000,26.181818181818155,10
2119,#100001000111,28.868262971873285,6
2118,#100001000110,28.203636363636345,9
2117,#100001000101,28.203636363636345,9
2116,#100001000100,26.181818181818155,10
2115,#100001000011,28.203636363636345,9
2114,#100001000010,26.181818181818155,10
2113,#100001000001,26.181818181818155,10
2112,#100001000000,22.36363636363634,10
2111,#100000111111,27.399999999999974,1
2110,#100000111110,28.676641620120613,5
2109,#100000111101,28.676641620120613,5
2108,#100000111100,28.858366220463907,6
2107,#100000111011,28.67657737016397,5
2106,#100000111010,28.858360593944408,6
2105,#100000111001,28.858360593944408,6
2104,#100000111000,28.203636363636345,9
2103,#100000110111,28.67627932716428,5
2102,#100000110110,28.858388264776348,6
2101,#100000110101,28.858388264776348,6
2100,#100000110100,28.203636363636345,9
2099,#100000110011,28.858306553977958,6
2098,#100000110010,28.203636363636345,9
2097,#100000110001,28.203636363636345,9
2096,#100000110000,26.181818181818155,10
2095,#100000101111,28.670129081328525,5
2094,#100000101110,28.858461667320597,6
2093,#100000101101,28.858461667320597,6
2092,#100000101100,28.203636363636345,9
2091,#100000101011,28.85837656591027,6
2090,#100000101010,28.203636363636345,9
2089,#100000101001,28.203636363636345,9
2088,#100000101000,26.181818181818155,10
2087,#100000100111,28.858138929649215,6
2086,#100000100110,28.203636363636345,9
2085,#100000100101,28.203636363636345,9
2084,#100000100100,26.181818181818155,10
2083,#100000100011,28.203636363636345,9
2082,#100000100010,26.181818181818155,10
2081,#100000100001,26.181818181818155,10
2080,#100000100000,22.36363636363634,10
2079,#100000011111,28.64700420549479,5
2078,#100000011110,28.852832906626546,6
2077,#100000011101,28.852832906626546,6
2076,#100000011100,28.203636363636345,9
2075,#100000011011,28.852744205179636,6
2074,#100000011010,28.203636363636345,9
2073,#100000011001,28.203636363636345,9
2072,#100000011000,26.181818181818155,10
2071,#100000010111,28.852486497122463,6
2070,#100000010110,28.203636363636345,9
2069,#100000010101,28.203636363636345,9
2068,#100000010100,26.181818181818155,10
2067,#100000010011,28.203636363636345,9
2066,#100000010010,26.181818181818155,10
2065,#100000010001,26.181818181818155,10
2064,#100000010000,22.36363636363634,10
2063,#100000001111,28.852069723411617,6
2062,#100000001110,28.203636363636345,9
2061,#100000001101,28.203636363636345,9
2060,#100000001100,26.181818181818155,10
2059,#100000001011,28.203636363636345,9
2058,#100000001010,26.181818181818155,10
2057,#100000001001,26.181818181818155,10
2056,#100000001000,22.36363636363634,10
2055,#100000000111,28.203636363636345,9
2054,#100000000110,26.181818181818155,10
2053,#100000000101,26.181818181818155,10
2052,#100000000100,22.36363636363634,10
2051,#100000000011,26.181818181818155,10
2050,#100000000010,22.36363636363634,10
2049,#100000000001,22.36363636363634,10
2048,#100000000000,11.999999999999984,11
2047,#011111111111,11.999999999999984,1
2046,#011111111110,17.99999999999998,1
2045,#011111111101,17.99999999999998,1
2044,#011111111100,21.999999999999975,1
2043,#011111111011,17.99999999999998,1
2042,#011111111010,21.999999999999975,1
2041,#011111111001,21.999999999999975,1
2040,#011111111000,24.999999999999975,1
2039,#011111110111,17.99999999999998,1
2038,#011111110110,21.999999999999975,1
2037,#011111110101,21.999999999999975,1
2036,#011111110100,24.999999999999975,1
2035,#011111110011,21.999999999999975,1
2034,#011111110010,24.999999999999975,1
2033,#011111110001,24.999999999999975,1
2032,#011111110000,27.399999999999974,1
2031,#011111101111,17.99999999999998,1
2030,#011111101110,21.999999999999975,1
2029,#011111101101,21.999999999999975,1
2028,#011111101100,24.999999999999975,1
2027,#011111101011,21.999999999999975,1
2026,#011111101010,24.999999999999975,1
2025,#011111101001,24.999999999999975,1
2024,#011111101000,27.399999999999974,1
2023,#011111100111,21.999999999999975,1
2022,#011111100110,24.999999999999975,1
2021,#011111100101,24.999999999999975,1
2020,#011111100100,27.399999999999974,1
2019,#011111100011,24.999999999999975,1
2018,#011111100010,27.399999999999974,1
2017,#011111100001,27.399999999999974,1
2016,#011111100000,28.61012260069642,8
2015,#011111011111,17.99999999999998,1
2014,#011111011110,21.999999999999975,1
2013,#011111011101,21.999999999999975,1
2012,#011111011100,24.999999999999975,1
2011,#011111011011,21.999999999999975,1
2010,#011111011010,24.999999999999975,1
2009,#011111011001,24.999999999999975,1
2008,#011111011000,27.399999999999974,1
2007,#011111010111,21.999999999999975,1
2006,#011111010110,24.999999999999975,1
2005,#011111010101,24.999999999999975,1
2004,#011111010100,27.399999999999974,1
2003,#011111010011,24.999999999999975,1
2002,#011111010010,27.399999999999974,1
2001,#011111010001,27.399999999999974,1
2000,#011111010000,28.61250273353767,7
1999,#011111001111,21.999999999999975,1
1998,#011111001110,24.999999999999975,1
1997,#011111001101,24.999999999999975,1
1996,#011111001100,27.399999999999974,1
1995,#011111001011,24.999999999999975,1
1994,#011111001010,27.399999999999974,1
1993,#011111001001,27.399999999999974,1
1992,#011111001000,28.613187151722936,7
1991,#011111000111,24.999999999999975,1
1990,#011111000110,27.399999999999974,1
1989,#011111000101,27.399999999999974,1
1988,#011111000100,28.61348132403431,7
1987,#011111000011,27.399999999999974,1
1986,#011111000010,28.61354473957594,7
1985,#011111000001,28.61354473957594,7
1984,#011111000000,28.01539228292821,10
1983,#011110111111,17.99999999999998,1
1982,#011110111110,21.999999999999975,1
1981,#011110111101,21.999999999999975,1
1980,#011110111100,24.999999999999975,1
1979,#011110111011,21.999999999999975,1
1978,#011110111010,24.999999999999975,1
1977,#011110111001,24.999999999999975,1
1976,#011110111000,27.399999999999974,1
1975,#011110110111,21.999999999999975,1
1974,#011110110110,24.999999999999975,1
1973,#011110110101,24.999999999999975,1
