,#bit12,#bit11,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.718722030152165,All
3763,1,1,1,0,1,0,1,1,0,0,1,1,24.999999999999975,1
3762,1,1,1,0,1,0,1,1,0,0,1,0,27.399999999999974,1
3761,1,1,1,0,1,0,1,1,0,0,0,1,27.399999999999974,1
3760,1,1,1,0,1,0,1,1,0,0,0,0,29.399999999999974,1
3759,1,1,1,0,1,0,1,0,1,1,1,1,21.999999999999975,1
3758,1,1,1,0,1,0,1,0,1,1,1,0,24.999999999999975,1
3757,1,1,1,0,1,0,1,0,1,1,0,1,24.999999999999975,1
3756,1,1,1,0,1,0,1,0,1,1,0,0,27.399999999999974,1
3755,1,1,1,0,1,0,1,0,1,0,1,1,24.999999999999975,1
3754,1,1,1,0,1,0,1,0,1,0,1,0,27.399999999999974,1
3753,1,1,1,0,1,0,1,0,1,0,0,1,27.399999999999974,1
3752,1,1,1,0,1,0,1,0,1,0,0,0,29.399999999999974,1
3751,1,1,1,0,1,0,1,0,0,1,1,1,24.999999999999975,1
3750,1,1,1,0,1,0,1,0,0,1,1,0,27.399999999999974,1
3749,1,1,1,0,1,0,1,0,0,1,0,1,27.399999999999974,1
3748,1,1,1,0,1,0,1,0,0,1,0,0,29.399999999999974,1
3747,1,1,1,0,1,0,1,0,0,0,1,1,27.399999999999974,1
3746,1,1,1,0,1,0,1,0,0,0,1,0,29.399999999999974,1
3745,1,1,1,0,1,0,1,0,0,0,0,1,29.399999999999974,1
3744,1,1,1,0,1,0,1,0,0,0,0,0,30.542857142857148,2
3743,1,1,1,0,1,0,0,1,1,1,1,1,21.999999999999975,1
3742,1,1,1,0,1,0,0,1,1,1,1,0,24.999999999999975,1
3741,1,1,1,0,1,0,0,1,1,1,0,1,24.999999999999975,1
3740,1,1,1,0,1,0,0,1,1,1,0,0,27.399999999999974,1
3739,1,1,1,0,1,0,0,1,1,0,1,1,24.999999999999975,1
3738,1,1,1,0,1,0,0,1,1,0,1,0,27.399999999999974,1
3737,1,1,1,0,1,0,0,1,1,0,0,1,27.399999999999974,1
3736,1,1,1,0,1,0,0,1,1,0,0,0,29.399999999999974,1
3735,1,1,1,0,1,0,0,1,0,1,1,1,24.999999999999975,1
3734,1,1,1,0,1,0,0,1,0,1,1,0,27.399999999999974,1
3733,1,1,1,0,1,0,0,1,0,1,0,1,27.399999999999974,1
